,date,open,high,low,close,volume,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,1525132800000,0.02008500,0.02039700,0.02008500,0.02033800,399.19000000,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,1525134600000,0.02031000,0.02037000,0.01989000,0.02006300,1672.57000000,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,1525136400000,0.02006300,0.02027600,0.01997400,0.01997400,166.11000000,745.9566666666666,-99999.0,-99999.0,0.020125,-99999.0,-99999.0
3,1525138200000,0.01997300,0.02005200,0.01977500,0.01988700,520.09000000,786.2566666666667,-99999.0,-99999.0,0.01997466666666667,-99999.0,-99999.0
4,1525140000000,0.01988700,0.02012200,0.01977600,0.02003900,92.49000000,259.5633333333333,-99999.0,-99999.0,0.01996666666666667,-99999.0,-99999.0
5,1525141800000,0.02000500,0.02000500,0.01977900,0.01995600,16.87000000,209.8166666666666,-99999.0,-99999.0,0.01996066666666667,-99999.0,-99999.0
6,1525143600000,0.01995300,0.01995300,0.01930200,0.01963200,2294.59000000,801.3166666666666,-99999.0,-99999.0,0.01987566666666667,-99999.0,-99999.0
7,1525145400000,0.01957800,0.01965900,0.01953700,0.01965000,304.01000000,871.8233333333334,-99999.0,-99999.0,0.019746000000000003,-99999.0,-99999.0
8,1525147200000,0.01957000,0.01973200,0.01950800,0.01972900,344.74000000,981.1133333333333,-99999.0,-99999.0,0.019670333333333335,-99999.0,-99999.0
9,1525149000000,0.01973900,0.01974300,0.01956600,0.01961900,360.04000000,336.2633333333333,-99999.0,-99999.0,0.019666000000000003,-99999.0,-99999.0
10,1525150800000,0.01959900,0.01971400,0.01956700,0.01962300,171.47000000,292.0833333333333,-99999.0,-99999.0,0.019657000000000004,-99999.0,-99999.0
11,1525152600000,0.01962500,0.01974200,0.01957000,0.01957100,295.24000000,275.5833333333333,-99999.0,-99999.0,0.019604333333333338,-99999.0,-99999.0
12,1525154400000,0.01974100,0.01974300,0.01959800,0.01973900,24.47000000,163.72666666666666,512.4523076923077,-99999.0,0.019644333333333337,0.01983230769230769,-99999.0
13,1525156200000,0.01974000,0.01977400,0.01964500,0.01966500,639.73000000,319.81333333333333,530.9553846153847,-99999.0,0.019658333333333337,0.019780538461538457,-99999.0
