,date,open,high,low,close,volume,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,1528716600000,0.05000000,0.05000000,0.04522000,0.04787000,2947872.20000000,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,1528718400000,0.04787000,0.04830000,0.04686000,0.04701000,1835833.40000000,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,1528720200000,0.04708000,0.04737000,0.04650000,0.04737000,1745340.90000000,2176348.8333333335,-99999.0,-99999.0,0.04741666666666667,-99999.0,-99999.0
3,1528722000000,0.04723000,0.04726000,0.04666000,0.04675000,958905.70000000,1513360.0,-99999.0,-99999.0,0.04704333333333333,-99999.0,-99999.0
4,1528723800000,0.04675000,0.04697000,0.04649000,0.04662000,1704567.10000000,1469604.5666666664,-99999.0,-99999.0,0.046913333333333335,-99999.0,-99999.0
5,1528725600000,0.04662000,0.04662000,0.04520000,0.04573000,4875971.70000000,2513148.166666666,-99999.0,-99999.0,0.04636666666666667,-99999.0,-99999.0
6,1528727400000,0.04579000,0.04637000,0.04572000,0.04591000,1654822.40000000,2745120.3999999994,-99999.0,-99999.0,0.046086666666666665,-99999.0,-99999.0
7,1528729200000,0.04591000,0.04618000,0.04515000,0.04515000,3281577.80000000,3270790.633333333,-99999.0,-99999.0,0.04559666666666667,-99999.0,-99999.0
8,1528731000000,0.04510000,0.04540000,0.04258000,0.04493000,9479497.70000000,4805299.3,-99999.0,-99999.0,0.04533,-99999.0,-99999.0
9,1528732800000,0.04497000,0.04630000,0.04497000,0.04598000,3827832.70000000,5529636.0666666655,-99999.0,-99999.0,0.04535333333333333,-99999.0,-99999.0
10,1528734600000,0.04602000,0.04605000,0.04540000,0.04596000,2201678.60000000,5169669.666666665,-99999.0,-99999.0,0.04562333333333333,-99999.0,-99999.0
11,1528736400000,0.04596000,0.04625000,0.04573000,0.04596000,1421261.10000000,2483590.7999999993,-99999.0,-99999.0,0.04596666666666666,-99999.0,-99999.0
12,1528738200000,0.04597000,0.04616000,0.04536000,0.04552000,1747038.90000000,1789992.8666666662,2898630.7846153844,-99999.0,0.04581333333333334,0.0462123076923077,-99999.0
13,1528740000000,0.04549000,0.04590000,0.04514000,0.04537000,3040198.50000000,2069499.4999999993,2905732.807692307,-99999.0,0.045616666666666666,0.04602000000000001,-99999.0
14,1528741800000,0.04536000,0.04619000,0.04480000,0.04580000,3342035.10000000,2709757.4999999995,3021594.4769230764,-99999.0,0.04556333333333334,0.04592692307692308,-99999.0
15,1528743600000,0.04594000,0.04621000,0.04565000,0.04600000,1506285.30000000,2629506.2999999993,3003205.584615384,-99999.0,0.04572333333333334,0.04582153846153847,-99999.0
