Date,symbol,type,amnt,price,current_balance 
2004-07-30,vix,buy,0.1,15.32,103314.9489011533 
2004-08-02,vix,buy,0.1,15.37,106586.51800757287 
2004-08-03,vix,sell,0.0,16.03,100727.83090469381 
2004-08-04,vix,buy,0.1,16.21,103310.63270393308 
2004-08-05,vix,sell,0.0,18.32,101941.86701507638 
2004-08-06,vix,buy,0.1,19.34,102485.02198744808 
2004-08-09,vix,sell,0.0,18.89,101630.74066384915 
2004-08-11,vix,buy,0.1,18.04,102935.09859986183 
2004-08-12,vix,sell,0.0,19.08,102123.94724403688 
2004-08-19,vix,buy,0.1,16.96,104149.43174672962 
2004-08-20,vix,sell,0.0,16.0,101481.45637671492 
2004-08-24,vix,buy,0.1,15.33,104787.70668106382 
2004-08-25,vix,buy,0.1,14.98,108405.31797383209 
2004-08-26,vix,sell,0.0,14.91,101002.993251755 
2004-08-27,vix,buy,0.1,14.71,104870.92099925118 
2004-08-30,vix,buy,0.1,15.44,108082.23040117271 
2004-08-31,vix,sell,0.0,15.29,101138.67386157828 
2004-09-01,vix,buy,0.1,14.91,104820.31149844405 
2004-09-02,vix,buy,0.1,14.28,109106.43314870096 
2004-09-03,vix,sell,0.0,13.91,100054.762689564 
2004-09-07,vix,buy,0.1,14.07,104554.40854355608 
2004-09-08,vix,sell,0.0,14.06,99967.85758009566 
2004-09-09,vix,buy,0.1,14.01,104529.68607157808 
2004-09-10,vix,buy,0.1,13.76,109356.44604001331 
2004-09-13,vix,sell,0.0,13.17,98785.97982118442 
2004-09-17,vix,buy,0.1,14.03,103327.0216719092 
2004-09-20,vix,sell,0.0,14.43,98989.53678423622 
2004-09-21,vix,buy,0.1,13.66,103924.98460017097 
2004-09-22,vix,buy,0.1,14.74,107764.64655170887 
2004-09-23,vix,sell,0.0,14.8,99699.87757147897 
2004-09-29,vix,buy,0.1,13.21,105144.7842456401 
2004-09-30,vix,sell,0.0,13.34,99717.85865699907 
2004-10-01,vix,buy,0.1,12.75,105720.71490528682 
2004-10-04,vix,sell,0.0,13.41,100152.56777992968 
2004-10-08,vix,buy,0.1,15.05,103706.74832249903 
2004-10-11,vix,sell,0.0,14.71,99848.16571363038 
2004-10-13,vix,buy,0.1,15.42,103076.63634694224 
2004-10-14,vix,buy,0.1,16.43,105490.68486585085 
2004-10-15,vix,buy,0.1,15.04,109053.89079441925 
2004-10-18,vix,buy,0.1,14.71,112921.81854191542 
2004-10-19,vix,sell,0.0,15.13,98898.65545871362 
2004-10-21,vix,buy,0.1,14.54,102928.95925277611 
2004-10-22,vix,sell,0.0,15.28,99324.71047385527 
2004-10-26,vix,buy,0.1,16.39,101769.10444369473 
2004-10-27,vix,sell,0.0,15.72,98838.53049701822 
2004-10-29,vix,buy,0.1,16.27,101374.85607573172 
2004-11-01,vix,sell,0.0,16.27,98758.69017765694 
2004-11-05,vix,buy,0.1,13.84,103499.6307243093 
2004-11-08,vix,sell,0.0,13.8,98650.1210730915 
2004-11-12,vix,buy,0.1,13.33,103955.80878244399 
2004-11-15,vix,sell,0.0,13.38,98607.56567376263 
2004-11-17,vix,buy,0.1,13.21,104052.47234792376 
2004-11-18,vix,sell,0.0,12.98,98354.65671499583 
2004-11-19,vix,buy,0.1,13.5,103467.35428282313 
2004-11-22,vix,sell,0.0,12.97,97884.57308965392 
