,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,4e-07,1503684000,4e-07,3.9e-07,4e-07,33460345.506108,13.36512736,3.9e-07
1,4e-07,1503691200,4e-07,3.9e-07,3.9e-07,33560094.095135,13.20393754,3.9e-07
2,3.9e-07,1503698400,4e-07,3.9e-07,4e-07,7150927.918671,2.82995185,3.9e-07
3,3.9e-07,1503705600,4e-07,3.9e-07,3.9e-07,14603972.631817,5.796495,3.9e-07
4,4e-07,1503712800,4e-07,3.9e-07,4e-07,25447280.807882,10.06825667,3.9e-07
5,4e-07,1503720000,4.1e-07,3.9e-07,4e-07,59950533.056322,23.71352044,3.9e-07
6,4e-07,1503727200,4.1e-07,3.9e-07,4e-07,43542040.446766,17.31859098,3.9e-07
7,3.9e-07,1503734400,4e-07,3.9e-07,4e-07,31700671.221968,12.61671299,3.9e-07
8,4e-07,1503741600,4.1e-07,3.9e-07,4e-07,26760020.148998,10.67215935,3.9e-07
9,4e-07,1503748800,4.1e-07,3.9e-07,4e-07,112994412.34666,45.09402409,3.9e-07
10,4e-07,1503756000,4.1e-07,4e-07,4e-07,16637647.349786,6.72712035,4e-07
11,4e-07,1503763200,4.1e-07,4e-07,4.1e-07,32006464.161771,12.9764572,4e-07
12,4.1e-07,1503770400,4.1e-07,4e-07,4.1e-07,22929505.528373,9.27859696,4e-07
13,4.1e-07,1503777600,4.1e-07,4e-07,4e-07,10981071.75544,4.45413253,4e-07
14,4.1e-07,1503784800,4.1e-07,4e-07,4e-07,48296876.143328,19.73419711,4e-07
15,4e-07,1503792000,4.1e-07,4e-07,4.1e-07,46216729.311012,18.52106636,4e-07
16,4e-07,1503799200,4.1e-07,4e-07,4.1e-07,13376090.668273,5.42527086,4e-07
17,4e-07,1503806400,4.1e-07,4e-07,4.1e-07,9276893.5263935,3.76156097,4e-07
18,4.1e-07,1503813600,4.1e-07,4e-07,4.1e-07,7399208.4032199,2.97082684,4e-07
19,4.1e-07,1503820800,4.1e-07,4e-07,4e-07,9033166.1850124,3.62404206,4e-07
20,4.1e-07,1503828000,4.1e-07,4e-07,4.1e-07,16890337.450384,6.79897028,4e-07
21,4.1e-07,1503835200,4.1e-07,4e-07,4.1e-07,21647641.519813,8.75462676,4e-07
22,4e-07,1503842400,4.1e-07,4e-07,4e-07,18998116.215626,7.68278695,4e-07
23,4e-07,1503849600,4.1e-07,4e-07,4.1e-07,31119910.380675,12.6259459,4e-07
24,4.1e-07,1503856800,4.1e-07,4e-07,4e-07,12871308.807745,5.22283523,4e-07
25,4.1e-07,1503864000,4.1e-07,4e-07,4e-07,9024980.957734,3.66430434,4e-07
26,4.1e-07,1503871200,4.1e-07,4e-07,4.1e-07,31498620.802258,12.77934512,4e-07
27,4e-07,1503878400,4.1e-07,4e-07,4.1e-07,26074358.088194,10.54984617,4e-07
28,4.1e-07,1503885600,4.1e-07,4e-07,4.1e-07,77675971.042321,31.81774366,4e-07
29,4.2e-07,1503892800,4.2e-07,4e-07,4e-07,24061906.873393,9.98990152,4.1e-07
30,4.1e-07,1503900000,4.2e-07,4.1e-07,4.2e-07,11269660.241977,4.68505561,4.1e-07
31,4.2e-07,1503907200,4.2e-07,4e-07,4.1e-07,41751752.884111,17.16476999,4.1e-07
32,4.1e-07,1503914400,4.2e-07,4.1e-07,4.2e-07,29438485.725242,12.10982056,4.1e-07
33,4.1e-07,1503921600,4.2e-07,4e-07,4.1e-07,51927411.647344,21.26473651,4e-07
34,4.1e-07,1503928800,4.2e-07,4.1e-07,4.1e-07,49154234.439327,20.36165613,4.1e-07
35,4.1e-07,1503936000,4.2e-07,4e-07,4.1e-07,65516925.90764,26.89955785,4.1e-07
36,4.1e-07,1503943200,4.2e-07,4e-07,4e-07,20186926.664927,8.29162769,4.1e-07
37,4.1e-07,1503950400,4.2e-07,4e-07,4.2e-07,19416226.963684,7.99694216,4.1e-07
38,4.1e-07,1503957600,4.2e-07,4e-07,4.1e-07,141296293.05742,58.49172546,4.1e-07
39,4.2e-07,1503964800,4.2e-07,4.1e-07,4.1e-07,81429381.061399,33.78140736,4.1e-07
40,4.2e-07,1503972000,4.2e-07,4.1e-07,4.1e-07,57219329.001043,23.73733514,4.1e-07
41,4.1e-07,1503979200,4.2e-07,4.1e-07,4.1e-07,109448844.64765,44.94760476,4.1e-07
42,4.2e-07,1503986400,4.2e-07,4e-07,4.1e-07,47714064.518426,19.74036998,4.1e-07
43,4.2e-07,1503993600,4.2e-07,4.1e-07,4.1e-07,40589648.765108,16.79444001,4.1e-07
44,4.1e-07,1504000800,4.2e-07,4.1e-07,4.2e-07,140370167.26261,58.41275275,4.1e-07
45,4.1e-07,1504008000,4.2e-07,4e-07,4.1e-07,79225453.777405,32.05649434,4e-07
46,4.1e-07,1504015200,4.2e-07,4e-07,4e-07,199439593.7338,81.68217988,4e-07
47,4.2e-07,1504022400,4.2e-07,4e-07,4.2e-07,40520748.330278,16.79850484,4.1e-07
48,4.2e-07,1504029600,4.2e-07,4.1e-07,4.2e-07,23417465.214999,9.70290517,4.1e-07
49,4.1e-07,1504036800,4.2e-07,4.1e-07,4.2e-07,39642862.918643,16.32604974,4.1e-07
50,4.1e-07,1504044000,4.2e-07,4e-07,4.2e-07,47528039.041539,19.19428663,4e-07
51,4.1e-07,1504051200,4.1e-07,4e-07,4.1e-07,30617108.161761,12.32432574,4e-07
52,4.1e-07,1504058400,4.1e-07,4e-07,4.1e-07,27751592.136374,11.14915332,4e-07
53,4.1e-07,1504065600,4.1e-07,4e-07,4e-07,66844568.314343,27.29626552,4e-07
54,4.2e-07,1504072800,4.2e-07,4e-07,4e-07,85250632.666571,35.06590574,4.1e-07
55,4.1e-07,1504080000,4.2e-07,4.1e-07,4.1e-07,40796143.690969,16.91454189,4.1e-07
56,4.1e-07,1504087200,4.2e-07,4e-07,4.2e-07,44051597.764353,18.11466213,4.1e-07
57,4.2e-07,1504094400,4.2e-07,4.1e-07,4.1e-07,32551236.811834,13.45933095,4.1e-07
58,4.6e-07,1504101600,5e-07,4.1e-07,4.2e-07,942688456.70536,424.36050727,4.5e-07
59,4.5e-07,1504108800,4.9e-07,4.5e-07,4.6e-07,939402492.35146,437.70925955,4.6e-07
60,4.6e-07,1504116000,4.7e-07,4.5e-07,4.5e-07,242157211.17233,111.45967276,4.6e-07
61,4.5e-07,1504123200,4.8e-07,4.4e-07,4.7e-07,307204388.60565,141.37604504,4.6e-07
62,4.6e-07,1504130400,4.7e-07,4.4e-07,4.5e-07,233812344.31627,106.95002182,4.5e-07
63,4.7e-07,1504137600,4.8e-07,4.5e-07,4.7e-07,271402462.16041,126.19301309,4.6e-07
64,4.6e-07,1504144800,4.7e-07,4.5e-07,4.6e-07,127962304.23352,58.98270503,4.6e-07
65,4.6e-07,1504152000,4.7e-07,4.5e-07,4.6e-07,121523055.32164,56.04805697,4.6e-07
66,4.5e-07,1504159200,4.6e-07,4.5e-07,4.5e-07,39486046.96429,17.98786775,4.5e-07
67,4.5e-07,1504166400,4.6e-07,4.4e-07,4.6e-07,147505246.13567,65.65125444,4.4e-07
68,4.4e-07,1504173600,4.5e-07,4.2e-07,4.5e-07,286800298.7561,125.05139609,4.3e-07
69,4.4e-07,1504180800,4.5e-07,4.3e-07,4.4e-07,89683729.874517,39.3692139,4.3e-07
70,4.4e-07,1504188000,4.5e-07,4.3e-07,4.3e-07,86084382.744095,37.75511117,4.3e-07
71,4.4e-07,1504195200,4.5e-07,4.3e-07,4.4e-07,65267343.550617,28.77848582,4.4e-07
72,4.4e-07,1504202400,4.5e-07,4.4e-07,4.5e-07,64660960.258476,28.85627725,4.4e-07
73,4.4e-07,1504209600,4.5e-07,4.3e-07,4.4e-07,209049113.5231,90.87875012,4.3e-07
74,4.4e-07,1504216800,4.5e-07,4.3e-07,4.4e-07,124008591.20771,53.99549698,4.3e-07
75,4.4e-07,1504224000,4.5e-07,4.3e-07,4.5e-07,12448761.557029,5.51996612,4.4e-07
76,4.4e-07,1504231200,4.5e-07,4.4e-07,4.4e-07,37591686.601793,16.58341654,4.4e-07
77,4.4e-07,1504238400,4.5e-07,4.3e-07,4.4e-07,71750590.15434,31.60849341,4.4e-07
78,4.4e-07,1504245600,4.5e-07,4.3e-07,4.4e-07,48176089.646146,21.03682389,4.3e-07
79,4.4e-07,1504252800,4.5e-07,4.3e-07,4.4e-07,48449241.338251,21.18165875,4.3e-07
80,4.4e-07,1504260000,4.4e-07,4.3e-07,4.4e-07,39634250.062491,17.2391043,4.3e-07
81,4.4e-07,1504267200,4.5e-07,4.3e-07,4.3e-07,103178127.91165,45.32117777,4.3e-07
82,4.6e-07,1504274400,4.7e-07,4.4e-07,4.5e-07,366734716.47022,166.36877266,4.5e-07
83,4.6e-07,1504281600,4.8e-07,4.5e-07,4.6e-07,266685763.9626,125.02570762,4.6e-07
84,4.7e-07,1504288800,4.8e-07,4.6e-07,4.7e-07,215710307.96937,100.56230895,4.6e-07
85,5e-07,1504296000,5.1e-07,4.6e-07,4.7e-07,368102248.81776,177.53934661,4.8e-07
86,5.2e-07,1504303200,5.3e-07,4.8e-07,5e-07,490787689.86619,249.19807147,5e-07
87,5.5e-07,1504310400,5.6e-07,5.1e-07,5.1e-07,618752765.06396,333.90428697,5.3e-07
88,5.1e-07,1504317600,5.5e-07,4.8e-07,5.4e-07,421888749.33348,217.26989919,5.1e-07
89,4.9e-07,1504324800,5.1e-07,4.8e-07,5.1e-07,179649360.94235,89.68430581,4.9e-07
90,5.2e-07,1504332000,5.3e-07,4.8e-07,4.9e-07,228792346.0826,115.22081443,5e-07
91,5.1e-07,1504339200,5.2e-07,5e-07,5.1e-07,124396062.53804,63.48321604,5.1e-07
92,5.2e-07,1504346400,5.3e-07,5e-07,5.1e-07,141036817.97685,72.43472267,5.1e-07
93,5.1e-07,1504353600,5.4e-07,5e-07,5.2e-07,248024743.55163,128.20148538,5.1e-07
94,4.9e-07,1504360800,5.1e-07,4.7e-07,5e-07,308061134.01958,150.48025578,4.8e-07
95,5e-07,1504368000,5e-07,4.7e-07,4.8e-07,146173900.65315,70.97994294,4.8e-07
96,5e-07,1504375200,5e-07,4.8e-07,4.9e-07,48058870.388964,23.50246886,4.8e-07
97,4.9e-07,1504382400,5e-07,4.8e-07,5e-07,43189599.407087,21.08333796,4.8e-07
98,4.8e-07,1504389600,4.9e-07,4.7e-07,4.9e-07,107099215.3889,51.57000307,4.8e-07
99,4.9e-07,1504396800,4.9e-07,4.7e-07,4.9e-07,47010879.052358,22.92623942,4.8e-07
