,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,8.43e-06,1503684000,8.55e-06,8.31e-06,8.53e-06,66680.65737077,0.56202367,8.42e-06
1,8.49e-06,1503691200,8.6e-06,8.45e-06,8.45e-06,107052.08640447,0.91399898,8.53e-06
2,8.67e-06,1503698400,8.67e-06,8.35e-06,8.48e-06,269553.37686296,2.29596426,8.51e-06
3,8.48e-06,1503705600,8.6e-06,8.29e-06,8.59e-06,222672.13589245,1.87270931,8.41e-06
4,8.34e-06,1503712800,8.51e-06,8.16e-06,8.4e-06,179461.5217495,1.48723293,8.28e-06
5,8.33e-06,1503720000,8.38e-06,8.27e-06,8.34e-06,66888.54291605,0.55835604,8.34e-06
6,8.39e-06,1503727200,8.48e-06,8.16e-06,8.28e-06,527948.64674359,4.41866999,8.36e-06
7,8.55e-06,1503734400,8.86e-06,8.31e-06,8.36e-06,222709.92474163,1.90800188,8.56e-06
8,8.91e-06,1503741600,8.91e-06,8.56e-06,8.59e-06,114527.95008168,1.00270297,8.75e-06
9,8.95e-06,1503748800,9.19e-06,8.7e-06,8.91e-06,255160.56689653,2.27660112,8.92e-06
10,9.07e-06,1503756000,9.15e-06,8.93e-06,8.94e-06,246238.4819835,2.22484814,9.03e-06
11,9.17e-06,1503763200,9.19e-06,9.07e-06,9.11e-06,93198.13500611,0.85224373,9.14e-06
12,8.94e-06,1503770400,9.19e-06,8.79e-06,9.17e-06,144584.77803562,1.29852456,8.98e-06
13,8.89e-06,1503777600,8.9e-06,8.78e-06,8.9e-06,63277.46139007,0.55932527,8.83e-06
14,9.23e-06,1503784800,9.78e-06,8.89e-06,8.89e-06,425035.21928144,3.95487598,9.3e-06
15,9.09e-06,1503792000,9.24e-06,9.09e-06,9.19e-06,32278.41310304,0.29535143,9.15e-06
16,9.04e-06,1503799200,9.19e-06,8.86e-06,9.09e-06,469320.53723344,4.18992717,8.92e-06
17,9.06e-06,1503806400,9.2e-06,9.06e-06,9.07e-06,22884.6433076,0.20772241,9.07e-06
18,9.07e-06,1503813600,9.21e-06,8.82e-06,9.06e-06,161122.10374903,1.44188279,8.94e-06
19,9.07e-06,1503820800,9.16e-06,9.02e-06,9.07e-06,153155.67358217,1.39357527,9.09e-06
20,8.86e-06,1503828000,9.14e-06,8.83e-06,9.08e-06,41112.72929659,0.36801997,8.95e-06
21,9.01e-06,1503835200,9.16e-06,8.84e-06,8.86e-06,61458.22492025,0.55104513,8.96e-06
22,9e-06,1503842400,9.04e-06,8.87e-06,9.03e-06,65093.79492731,0.58441856,8.97e-06
23,9e-06,1503849600,9.05e-06,9e-06,9.01e-06,35633.02929291,0.32103333,9e-06
24,9e-06,1503856800,9.04e-06,8.91e-06,9.01e-06,43015.51832424,0.38690673,8.99e-06
25,8.87e-06,1503864000,9.03e-06,8.8e-06,8.99e-06,138244.66687585,1.22362933,8.85e-06
26,8.89e-06,1503871200,8.89e-06,8.72e-06,8.86e-06,36436.7712648,0.32095401,8.8e-06
27,8.77e-06,1503878400,8.89e-06,8.77e-06,8.82e-06,185227.8486778,1.63068795,8.8e-06
28,9.25e-06,1503885600,9.31e-06,8.85e-06,8.85e-06,221799.55177843,2.0004586,9.01e-06
