,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,0.00025658,1484460000,0.00025831,0.00025519,0.00025519,52.74611886,0.0135514,0.00025691
1,0.0002581,1484467200,0.00025832,0.00025584,0.00025584,921.89832852,0.2379169,0.00025807
2,0.0002597,1484474400,0.0002597,0.0002597,0.0002597,1.0,0.0002597,0.0002597
3,0.00025972,1484481600,0.00026562,0.0002597,0.0002597,196.89575424,0.05221997,0.00026521
4,0.00027277,1484488800,0.00028992,0.0002597,0.00025972,3786.59210804,1.04485933,0.00027593
5,0.00027001,1484496000,0.0002728,0.00027,0.0002728,503.47571381,0.13732026,0.00027274
6,0.00026857,1484503200,0.00027001,0.00026857,0.00027001,17.19182515,0.00462857,0.00026923
7,0.00026941,1484510400,0.00027824,0.00026855,0.00026856,207.53478818,0.05606818,0.00027016
8,0.00026498,1484517600,0.00027327,0.00026498,0.00027327,86.24456233,0.02343653,0.00027174
9,0.00026004,1484524800,0.00026763,0.00026,0.00026498,871.72921493,0.22750925,0.00026098
10,0.00026031,1484532000,0.00026031,0.0002566,0.00026001,1514.86264095,0.39215978,0.00025887
11,0.00026147,1484539200,0.00026147,0.00026147,0.00026147,5.7367958,0.00149999,0.00026147
12,0.00026,1484546400,0.00026133,0.00026,0.00026001,5.6205017,0.00146186,0.00026009
13,0.00026,1484553600,0.00026,0.00026,0.00026,0.41384363,0.00010759,0.00026
14,0.00025796,1484560800,0.00026,0.0002579,0.00026,6.50996024,0.00168397,0.00025867
15,0.00026061,1484568000,0.00027,0.00026,0.00026,737.85353087,0.19634546,0.0002661
16,0.00025891,1484575200,0.00025892,0.00025891,0.00025892,0.63100799,0.00016337,0.00025891
17,0.00026006,1484582400,0.00026239,0.00026006,0.0002616,93.20914113,0.02427596,0.00026044
18,0.00026221,1484589600,0.00026607,0.00025804,0.00025934,1153.50871871,0.30025914,0.0002603
19,0.00026654,1484596800,0.00026654,0.00026238,0.00026238,744.23398638,0.19794462,0.00026597
20,0.00026963,1484604000,0.00027307,0.00026701,0.00026701,440.32055476,0.11890096,0.00027003
21,0.00027198,1484611200,0.00028,0.00026991,0.00027432,427.49651282,0.11644286,0.00027238
22,0.00027121,1484618400,0.00027999,0.00027121,0.00027134,378.53970569,0.10579739,0.00027948
23,0.00026922,1484625600,0.00027372,0.0002631,0.00027372,728.01250548,0.19428371,0.00026686
24,0.00026673,1484632800,0.00026923,0.00026664,0.00026923,4.30702637,0.00114978,0.00026695
25,0.0002698,1484640000,0.0002698,0.00026682,0.00026682,9.87748006,0.00265073,0.00026836
26,0.00026759,1484647200,0.00026759,0.00026759,0.00026759,32.56596431,0.00871432,0.00026759
27,0.00027295,1484654400,0.00027295,0.00026796,0.00027,249.45051156,0.06800173,0.0002726
28,0.00027157,1484661600,0.00027157,0.00027021,0.00027021,30.06244877,0.00815528,0.00027127
29,0.0002677,1484668800,0.00027157,0.00026339,0.00027157,873.39476579,0.23331944,0.00026714
30,0.00025577,1484676000,0.00026886,0.00025577,0.0002677,750.34068758,0.19435235,0.00025901
31,0.00025766,1484683200,0.00026424,0.00025,0.00026048,3194.21775946,0.80652905,0.00025249
32,0.00025511,1484690400,0.00025674,0.0002549,0.0002549,32.61985737,0.00835987,0.00025628
33,0.00025766,1484697600,0.00025766,0.0002551,0.00025517,319.49457225,0.08224822,0.00025743
