,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,6.33e-06,1484719200,6.33e-06,6.29e-06,6.33e-06,70288.42331011,0.44408519,6.31e-06
1,6.34e-06,1484726400,6.36e-06,6.29e-06,6.29e-06,159070.54449101,1.00789632,6.33e-06
2,6.34e-06,1484733600,6.36e-06,6.26e-06,6.34e-06,224729.40593815,1.41526384,6.29e-06
3,6.39e-06,1484740800,6.4e-06,6.27e-06,6.32e-06,139937.66091717,0.89199289,6.37e-06
4,6.46e-06,1484748000,6.49e-06,6.39e-06,6.39e-06,313827.49744513,2.0209456,6.43e-06
5,6.52e-06,1484755200,6.56e-06,6.42e-06,6.46e-06,294005.05484186,1.91183549,6.5e-06
6,6.5e-06,1484762400,6.59e-06,6.42e-06,6.5e-06,307341.62472719,2.00663919,6.52e-06
7,6.44e-06,1484769600,6.68e-06,6.39e-06,6.57e-06,628369.50062072,4.09119247,6.51e-06
8,6.43e-06,1484776800,6.68e-06,6.43e-06,6.44e-06,916477.52163341,5.98998956,6.53e-06
9,6.44e-06,1484784000,6.51e-06,6.39e-06,6.44e-06,168521.68794642,1.08718155,6.45e-06
10,6.34e-06,1484791200,6.49e-06,6.31e-06,6.49e-06,192298.91236273,1.22258102,6.35e-06
11,6.46e-06,1484798400,6.46e-06,6.37e-06,6.37e-06,135355.92975985,0.86768162,6.41e-06
12,6.45e-06,1484805600,6.6e-06,6.42e-06,6.48e-06,497115.46869962,3.2390265,6.51e-06
13,6.45e-06,1484812800,6.54e-06,6.36e-06,6.47e-06,334203.38239295,2.15887211,6.45e-06
14,6.49e-06,1484820000,6.56e-06,6.36e-06,6.44e-06,97676.61892102,0.63073802,6.45e-06
15,6.48e-06,1484827200,6.56e-06,6.47e-06,6.49e-06,178982.58633372,1.16304875,6.49e-06
16,6.46e-06,1484834400,6.5e-06,6.36e-06,6.48e-06,97878.58140002,0.62964301,6.43e-06
17,6.47e-06,1484841600,6.5e-06,6.35e-06,6.42e-06,244212.36107452,1.57377822,6.44e-06
18,6.58e-06,1484848800,6.65e-06,6.47e-06,6.47e-06,329535.40315152,2.1742046,6.59e-06
19,6.68e-06,1484856000,6.7e-06,6.56e-06,6.58e-06,694711.54932682,4.58383416,6.59e-06
20,6.61e-06,1484863200,6.7e-06,6.6e-06,6.68e-06,231617.34884183,1.53970973,6.64e-06
21,6.58e-06,1484870400,6.66e-06,6.55e-06,6.59e-06,216616.65091462,1.42453899,6.57e-06
22,6.57e-06,1484877600,6.6e-06,6.57e-06,6.58e-06,173417.22701822,1.14058492,6.57e-06
23,6.57e-06,1484884800,6.64e-06,6.54e-06,6.59e-06,137409.8909445,0.90153792,6.56e-06
24,6.55e-06,1484892000,6.61e-06,6.51e-06,6.56e-06,394823.04352275,2.58328442,6.54e-06
25,6.53e-06,1484899200,6.6e-06,6.52e-06,6.53e-06,312179.37871294,2.05407419,6.57e-06
26,6.51e-06,1484906400,6.53e-06,6.51e-06,6.52e-06,142595.90731167,0.92886345,6.51e-06
27,6.44e-06,1484913600,6.51e-06,6.4e-06,6.51e-06,322379.88151646,2.07763191,6.44e-06
28,6.45e-06,1484920800,6.45e-06,6.4e-06,6.42e-06,169708.15458721,1.09086623,6.42e-06
29,6.41e-06,1484928000,6.45e-06,6.4e-06,6.45e-06,421753.44827194,2.70184482,6.4e-06
30,6.59e-06,1484935200,6.67e-06,6.4e-06,6.41e-06,1170237.5134203,7.61893777,6.51e-06
31,6.57e-06,1484942400,6.67e-06,6.45e-06,6.59e-06,225791.33752414,1.48445069,6.57e-06
32,6.51e-06,1484949600,6.65e-06,6.45e-06,6.56e-06,266899.41612953,1.74146479,6.52e-06
33,6.49e-06,1484956800,6.57e-06,6.49e-06,6.51e-06,88677.82792264,0.57945706,6.53e-06
34,6.43e-06,1484964000,6.54e-06,6.43e-06,6.54e-06,157732.14019578,1.02465722,6.49e-06
35,6.43e-06,1484971200,6.47e-06,6.4e-06,6.47e-06,277598.5736327,1.77806765,6.4e-06
36,6.39e-06,1484978400,6.45e-06,6.39e-06,6.43e-06,318876.96498889,2.04138627,6.4e-06
37,6.4e-06,1484985600,6.49e-06,6.35e-06,6.43e-06,306652.34416943,1.97520295,6.44e-06
38,6.31e-06,1484992800,6.37e-06,6.31e-06,6.37e-06,169353.07458578,1.07533507,6.34e-06
39,6.37e-06,1485000000,6.37e-06,6.27e-06,6.32e-06,370185.38201117,2.32962244,6.29e-06
40,6.24e-06,1485007200,6.32e-06,6.22e-06,6.32e-06,310049.8870012,1.94179341,6.26e-06
