,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,5.97e-06,1534348800,3e-05,3.88e-06,5.65e-06,3701496.304202,26.66614152,7.2e-06,0.0,0.0,0.0,0.0,0.0,0.0
1,5.87e-06,1534356000,6.13e-06,5.74e-06,6.13e-06,559681.8935947,3.30828124,5.91e-06,0.0,0.0,0.0,0.0,0.0,0.0
2,5.88e-06,1534363200,5.96e-06,5.8e-06,5.85e-06,40322.9240795,0.23741751,5.88e-06,10.070613423333333,0.0,0.0,5.906666666666666e-06,0.0,0.0
3,5.84e-06,1534370400,5.99e-06,5.79e-06,5.9e-06,32838.05616425,0.19415618,5.91e-06,1.24661831,0.0,0.0,5.863333333333333e-06,0.0,0.0
4,5.82e-06,1534377600,6.71e-06,5.73e-06,5.76e-06,349867.62822402,2.10141672,6e-06,0.8443301366666666,0.0,0.0,5.846666666666667e-06,0.0,0.0
5,5.91e-06,1534384800,6.2e-06,5.82e-06,5.82e-06,79898.76972923,0.4732269,5.92e-06,0.9229332666666664,0.0,0.0,5.856666666666668e-06,0.0,0.0
6,5.85e-06,1534392000,5.95e-06,5.75e-06,5.91e-06,59567.47771654,0.35007378,5.87e-06,0.9749057999999996,0.0,0.0,5.8600000000000015e-06,0.0,0.0
7,5.72e-06,1534399200,5.84e-06,5.72e-06,5.84e-06,50913.31508307,0.2949815,5.79e-06,0.3727607266666662,0.0,0.0,5.826666666666667e-06,0.0,0.0
8,5.81e-06,1534406400,5.82e-06,5.71e-06,5.79e-06,11667.72922912,0.0675735,5.79e-06,0.2375429266666662,0.0,0.0,5.793333333333334e-06,0.0,0.0
9,5.71e-06,1534413600,5.81e-06,5.71e-06,5.81e-06,67012.57107617,0.38334035,5.72e-06,0.24863178333333283,0.0,0.0,5.746666666666668e-06,0.0,0.0
10,5.72e-06,1534420800,5.82e-06,5.64e-06,5.72e-06,1097273.8776312,6.35843051,5.79e-06,2.269781453333333,0.0,0.0,5.746666666666668e-06,0.0,0.0
11,5.74e-06,1534428000,5.8e-06,5.66e-06,5.71e-06,74742.34564663,0.4281685,5.72e-06,2.3899797866666663,0.0,0.0,5.723333333333334e-06,0.0,0.0
12,5.69e-06,1534435200,5.76e-06,5.58e-06,5.72e-06,334623.76849451,1.88810383,5.64e-06,2.8915676133333332,3.288562464615384,0.0,5.7166666666666664e-06,5.8099999999999994e-06,0.0
13,5.78e-06,1534442400,5.81e-06,5.68e-06,5.69e-06,87760.3387405,0.50162531,5.71e-06,0.9392992133333333,1.2759073715384612,0.0,5.736666666666666e-06,5.795384615384615e-06,0.0
14,5.83e-06,1534449600,5.85e-06,5.7e-06,5.7e-06,390330.00304432,2.26690097,5.8e-06,1.5522100366666667,1.1958011969230766,0.0,5.766666666666667e-06,5.792307692307692e-06,0.0
15,5.73e-06,1534456800,5.84e-06,5.73e-06,5.83e-06,130497.38448713,0.75000568,5.74e-06,1.1728439866666667,1.2352310561538458,0.0,5.78e-06,5.780769230769231e-06,0.0
16,5.97e-06,1534464000,5.97e-06,5.76e-06,5.76e-06,91177.02671439,0.53466953,5.86e-06,1.1838587266666667,1.2614243907692304,0.0,5.843333333333333e-06,5.7907692307692305e-06,0.0
17,5.95e-06,1534471200,5.95e-06,5.93e-06,5.94e-06,105055.02812037,0.62299511,5.93e-06,0.6358901066666668,1.1476996515384612,0.0,5.883333333333333e-06,5.80076923076923e-06,0.0
18,5.98e-06,1534478400,5.98e-06,5.88e-06,5.95e-06,9720.06155868,0.05787918,5.95e-06,0.40518127333333337,1.1157498269230766,0.0,5.966666666666666e-06,5.806153846153847e-06,0.0
19,6.04e-06,1534485600,6.11e-06,5.92e-06,5.97e-06,35475.8902656,0.21504111,6.06e-06,0.29863846666666677,1.1053626984615381,0.0,5.989999999999999e-06,5.820769230769232e-06,0.0
20,6.02e-06,1534492800,6.05e-06,5.91e-06,6.05e-06,175541.15623873,1.04667391,5.96e-06,0.4398647333333334,1.163185191538461,0.0,6.013333333333333e-06,5.8438461538461545e-06,0.0
21,6.07e-06,1534500000,6.11e-06,5.92e-06,6e-06,49164.41880987,0.29342777,5.96e-06,0.5183809300000001,1.1805585969230763,0.0,6.043333333333334e-06,5.863846153846154e-06,0.0
22,6.1e-06,1534507200,6.1e-06,5.96e-06,5.98e-06,41253.21735293,0.24856503,6.02e-06,0.52955557,1.1701912646153843,0.0,6.0633333333333334e-06,5.893846153846155e-06,0.0
23,6.15e-06,1534514400,6.15e-06,6e-06,6e-06,30563.94589396,0.18611951,6.08e-06,0.24270410333333334,0.6953981107692303,0.0,6.106666666666667e-06,5.926923076923077e-06,0.0
24,6.32e-06,1534521600,6.32e-06,6.15e-06,6.15e-06,84323.74452118,0.52703161,6.25e-06,0.32057205000000005,0.7030029653846148,0.0,6.19e-06,5.971538461538461e-06,0.0
25,6.29e-06,1534528800,6.29e-06,6.11e-06,6.13e-06,50776.09677717,0.31719501,6.24e-06,0.34344871000000005,0.5821638253846149,0.0,6.253333333333333e-06,6.017692307692308e-06,0.0
26,6.31e-06,1534536000,6.31e-06,6.18e-06,6.26e-06,38519.27645195,0.24119933,6.26e-06,0.36180865,0.5621310576923072,0.0,6.306666666666666e-06,6.058461538461539e-06,0.0
27,6.38e-06,1534543200,6.52e-06,6.27e-06,6.32e-06,86551.95251528,0.55122806,6.36e-06,0.36987413333333335,0.43015621846153795,0.0,6.326666666666666e-06,6.100769230769231e-06,0.0
28,6.45e-06,1534550400,6.85e-06,6.4e-06,6.4e-06,114759.02257303,0.75431503,6.57e-06,0.5155808066666666,0.4304877069230764,0.0,6.38e-06,6.156153846153846e-06,0.0
29,6.32e-06,1534557600,6.52e-06,6.26e-06,6.44e-06,56072.28561136,0.35815118,6.38e-06,0.5545647566666666,0.4169093723076918,0.0,6.383333333333334e-06,6.183076923076922e-06,0.0
30,6.38e-06,1534564800,6.4e-06,6.33e-06,6.36e-06,34847.52646458,0.22246321,6.38e-06,0.4449764733333333,0.3860992261538457,0.0,6.383333333333334e-06,6.216153846153845e-06,0.0
31,6.11e-06,1534572000,6.34e-06,6.03e-06,6.34e-06,43475.78622408,0.26671355,6.13e-06,0.28244264666666663,0.4021634084615381,0.0,6.27e-06,6.226153846153846e-06,0.0
32,6.4e-06,1534579200,6.42e-06,6.05e-06,6.06e-06,37858.33726412,0.23913121,6.31e-06,0.24276932333333326,0.4040164930769227,0.0,6.296666666666667e-06,6.253846153846152e-06,0.0
33,6.58e-06,1534586400,6.58e-06,6.24e-06,6.4e-06,29463.98954244,0.18831437,6.39e-06,0.2313863766666666,0.3379888361538458,1.5629693444117647,6.363333333333333e-06,6.296923076923075e-06,6.02029411764706e-06
34,6.34e-06,1534593600,6.74e-06,5.96e-06,6.57e-06,165302.75091113,1.05916567,6.4e-06,0.49553708333333324,0.3968917515384612,0.809822995882353,6.439999999999999e-06,6.317692307692306e-06,6.031176470588236e-06
35,6.13e-06,1534600800,6.56e-06,6.13e-06,6.35e-06,317961.02327592,2.01913568,6.35e-06,1.0888719066666666,0.5330894938461536,0.7719069500000001,6.349999999999999e-06,6.319999999999998e-06,6.038823529411765e-06
36,5.99e-06,1534608000,6.18e-06,5.96e-06,6.17e-06,37370.24534983,0.22667916,6.06e-06,1.10166017,0.5362094669230766,0.7715911161764707,6.153333333333332e-06,6.307692307692305e-06,6.042058823529412e-06
37,6.01e-06,1534615200,6.09e-06,5.94e-06,5.99e-06,43787.89064877,0.26291145,6e-06,0.8362420966666665,0.5158925315384612,0.7736133300000001,6.043333333333331e-06,6.283846153846153e-06,6.047058823529412e-06
38,6.11e-06,1534622400,6.11e-06,5.98e-06,6.01e-06,6585.58405419,0.0394958,5.99e-06,0.17636213666666642,0.49453105384615353,0.7129685970588236,6.036666666666665e-06,6.269999999999998e-06,6.0555882352941185e-06
39,6.07e-06,1534629600,6.09e-06,5.99e-06,6.07e-06,62532.41924194,0.37739002,6.03e-06,0.22659908999999975,0.5050072607692304,0.7101498652941177,6.063333333333331e-06,6.25153846153846e-06,6.0602941176470594e-06
40,6.04e-06,1534636800,6.24e-06,6.04e-06,6.12e-06,18081.79111165,0.1098612,6.07e-06,0.17558233999999975,0.47105596384615356,0.7030847894117649,6.073333333333331e-06,6.225384615384614e-06,6.065882352941177e-06
41,6.08e-06,1534644000,6.08e-06,6.03e-06,6.07e-06,5976.12280826,0.03625086,6.06e-06,0.1745006933333331,0.4158202584615382,0.6954750647058825,6.06333333333333e-06,6.196923076923076e-06,6.0764705882352945e-06
