,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,3e-06,1484460000,3.04e-06,2.94e-06,2.94e-06,578641.27372583,1.73933745,3e-06
1,3.01e-06,1484467200,3.07e-06,2.97e-06,2.99e-06,2737400.8671766,8.31043219,3.03e-06
2,3.06e-06,1484474400,3.07e-06,3e-06,3.01e-06,588522.44933096,1.77623905,3.01e-06
3,2.94e-06,1484481600,3.06e-06,2.9e-06,3.01e-06,2508421.5465707,7.36398461,2.93e-06
4,2.98e-06,1484488800,2.98e-06,2.89e-06,2.94e-06,3662492.9049493,10.74298325,2.93e-06
5,3e-06,1484496000,3e-06,2.91e-06,2.98e-06,1405362.8577601,4.13621181,2.94e-06
6,3e-06,1484503200,3.06e-06,2.96e-06,3e-06,1768552.8398629,5.3382285,3.01e-06
7,2.99e-06,1484510400,3.02e-06,2.95e-06,3e-06,623511.86672665,1.86384299,2.98e-06
8,2.98e-06,1484517600,3.01e-06,2.98e-06,3e-06,111168.10949689,0.33181958,2.98e-06
9,2.99e-06,1484524800,3.01e-06,2.98e-06,2.99e-06,702171.78571281,2.10325457,2.99e-06
10,2.96e-06,1484532000,3e-06,2.87e-06,2.99e-06,1391985.0640381,4.0715287,2.92e-06
11,2.96e-06,1484539200,2.99e-06,2.96e-06,2.96e-06,305310.03570065,0.91021644,2.98e-06
12,2.95e-06,1484546400,3.02e-06,2.94e-06,2.95e-06,1110969.0278495,3.30718242,2.97e-06
13,2.95e-06,1484553600,2.98e-06,2.94e-06,2.96e-06,291526.33819152,0.86283644,2.95e-06
14,2.95e-06,1484560800,2.99e-06,2.9e-06,2.94e-06,1209700.7826921,3.54643976,2.93e-06
15,2.92e-06,1484568000,2.95e-06,2.86e-06,2.95e-06,1910595.7245579,5.51561681,2.88e-06
16,2.87e-06,1484575200,2.94e-06,2.83e-06,2.92e-06,5277302.9705743,15.13777674,2.86e-06
17,2.89e-06,1484582400,2.91e-06,2.81e-06,2.87e-06,2369471.4105693,6.74208881,2.84e-06
18,2.85e-06,1484589600,2.89e-06,2.83e-06,2.89e-06,1305090.0082137,3.71434169,2.84e-06
19,2.88e-06,1484596800,2.89e-06,2.84e-06,2.85e-06,1515228.6702537,4.34201727,2.86e-06
20,2.87e-06,1484604000,2.88e-06,2.86e-06,2.86e-06,71258.31821309,0.20480589,2.87e-06
21,2.91e-06,1484611200,3.01e-06,2.83e-06,2.87e-06,3564272.6242321,10.4285853,2.92e-06
22,2.9e-06,1484618400,2.91e-06,2.84e-06,2.91e-06,570461.62652396,1.6375031,2.87e-06
23,2.89e-06,1484625600,2.99e-06,2.87e-06,2.9e-06,1504353.6259958,4.40033517,2.92e-06
24,2.87e-06,1484632800,2.91e-06,2.84e-06,2.9e-06,561284.03492939,1.61144282,2.87e-06
25,2.84e-06,1484640000,2.86e-06,2.81e-06,2.86e-06,1243451.6496208,3.51938403,2.83e-06
26,2.81e-06,1484647200,2.84e-06,2.78e-06,2.81e-06,1732594.625237,4.85572037,2.8e-06
27,2.8e-06,1484654400,2.83e-06,2.8e-06,2.81e-06,867277.64163352,2.43777543,2.81e-06
28,2.82e-06,1484661600,2.83e-06,2.8e-06,2.82e-06,157859.14972075,0.44572117,2.82e-06
29,2.8e-06,1484668800,2.83e-06,2.79e-06,2.83e-06,1036220.1740384,2.90687744,2.8e-06
30,2.81e-06,1484676000,2.81e-06,2.78e-06,2.8e-06,2629725.2026302,7.32353901,2.78e-06
31,2.79e-06,1484683200,2.82e-06,2.78e-06,2.81e-06,687460.5566158,1.92335572,2.79e-06
32,2.81e-06,1484690400,2.81e-06,2.78e-06,2.78e-06,530756.36418741,1.47996492,2.78e-06
33,2.79e-06,1484697600,2.83e-06,2.75e-06,2.78e-06,2503512.6027468,6.95850822,2.77e-06
34,2.78e-06,1484704800,2.8e-06,2.75e-06,2.79e-06,1149042.0778767,3.17560018,2.76e-06
35,2.79e-06,1484712000,2.84e-06,2.7e-06,2.78e-06,2496139.3849833,6.87889726,2.75e-06
36,2.76e-06,1484719200,2.82e-06,2.7e-06,2.79e-06,1404079.6667877,3.82369786,2.72e-06
37,2.86e-06,1484726400,2.87e-06,2.77e-06,2.77e-06,2211597.2512194,6.26562913,2.83e-06
38,2.84e-06,1484733600,2.89e-06,2.8e-06,2.87e-06,1799705.5879974,5.11671294,2.84e-06
39,2.84e-06,1484740800,2.88e-06,2.81e-06,2.84e-06,845474.03069026,2.4093397,2.84e-06
40,2.75e-06,1484748000,2.9e-06,2.63e-06,2.85e-06,23338537.878621,62.57654956,2.68e-06
41,2.78e-06,1484755200,2.78e-06,2.72e-06,2.74e-06,1015111.4940068,2.78788518,2.74e-06
42,2.76e-06,1484762400,2.78e-06,2.73e-06,2.78e-06,1594700.7560544,4.3822901,2.74e-06
43,2.77e-06,1484769600,2.77e-06,2.73e-06,2.76e-06,1405939.8831246,3.86513562,2.74e-06
44,2.81e-06,1484776800,2.9e-06,2.73e-06,2.76e-06,3069657.4627983,8.71856987,2.84e-06
45,2.82e-06,1484784000,2.92e-06,2.74e-06,2.82e-06,6413869.4450794,18.03176945,2.81e-06
46,2.83e-06,1484791200,2.85e-06,2.81e-06,2.83e-06,992723.09452673,2.80875203,2.82e-06
47,2.81e-06,1484798400,2.85e-06,2.8e-06,2.84e-06,826231.43615434,2.32453314,2.81e-06
48,2.83e-06,1484805600,2.86e-06,2.81e-06,2.82e-06,485533.83947775,1.37834012,2.83e-06
49,2.82e-06,1484812800,2.84e-06,2.82e-06,2.82e-06,873993.20810445,2.46509843,2.82e-06
50,2.79e-06,1484820000,2.82e-06,2.71e-06,2.81e-06,1778151.6894655,4.90448595,2.75e-06
51,2.78e-06,1484827200,2.8e-06,2.76e-06,2.79e-06,326740.08806491,0.90700916,2.77e-06
52,2.77e-06,1484834400,2.81e-06,2.77e-06,2.79e-06,639374.34499584,1.78243052,2.78e-06
53,2.73e-06,1484841600,2.79e-06,2.7e-06,2.79e-06,2629863.7879016,7.20283009,2.73e-06
54,2.55e-06,1484848800,2.76e-06,2.38e-06,2.74e-06,25168886.524712,64.4052152,2.55e-06
55,2.59e-06,1484856000,2.59e-06,2.53e-06,2.55e-06,1745607.6382133,4.48588672,2.56e-06
56,2.62e-06,1484863200,2.67e-06,2.58e-06,2.59e-06,5545596.3729324,14.46763366,2.6e-06
57,2.77e-06,1484870400,3.06e-06,2.6e-06,2.61e-06,25086901.764185,71.2747216,2.84e-06
58,2.76e-06,1484877600,2.78e-06,2.73e-06,2.77e-06,572832.46025467,1.5730736,2.74e-06
59,2.77e-06,1484884800,2.79e-06,2.73e-06,2.76e-06,735303.64808718,2.02622988,2.75e-06
60,2.78e-06,1484892000,2.79e-06,2.77e-06,2.77e-06,86259.5597504,0.23960385,2.77e-06
61,2.77e-06,1484899200,2.8e-06,2.77e-06,2.78e-06,1171743.6162221,3.26126433,2.78e-06
62,2.8e-06,1484906400,2.81e-06,2.75e-06,2.78e-06,982449.28805509,2.73446494,2.78e-06
63,2.73e-06,1484913600,2.81e-06,2.72e-06,2.8e-06,1347123.497664,3.70249144,2.74e-06
64,2.72e-06,1484920800,2.74e-06,2.71e-06,2.73e-06,582512.76018597,1.58256952,2.71e-06
65,2.72e-06,1484928000,2.74e-06,2.69e-06,2.72e-06,1713987.7043225,4.64962319,2.71e-06
66,2.65e-06,1484935200,2.72e-06,2.65e-06,2.72e-06,1497656.1980041,4.00903831,2.67e-06
67,2.64e-06,1484942400,2.67e-06,2.62e-06,2.65e-06,2202541.7663051,5.81679763,2.64e-06
