,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,6.733e-05,1503684000,6.733e-05,6.336e-05,6.417e-05,20548.57119586,1.31223558,6.386e-05
1,6.422e-05,1503691200,6.731e-05,6.374e-05,6.638e-05,6736.53302891,0.4442284,6.594e-05
2,6.618e-05,1503698400,6.628e-05,6.46e-05,6.46e-05,8931.34736605,0.58918867,6.596e-05
3,6.425e-05,1503705600,6.627e-05,6.42e-05,6.611e-05,6595.73174724,0.42910088,6.505e-05
4,6.744e-05,1503712800,7.488e-05,6.515e-05,6.515e-05,108727.20824648,7.61096507,7e-05
5,6.943e-05,1503720000,7.007e-05,6.743e-05,6.747e-05,25104.16278987,1.7071875,6.8e-05
6,6.832e-05,1503727200,7.454e-05,6.745e-05,7.003e-05,63960.37574133,4.57208305,7.148e-05
7,6.882e-05,1503734400,6.986e-05,6.795e-05,6.887e-05,12169.22309048,0.83492994,6.86e-05
8,7.006e-05,1503741600,7.062e-05,6.76e-05,6.797e-05,13384.37948383,0.92479234,6.909e-05
9,6.84e-05,1503748800,6.991e-05,6.824e-05,6.869e-05,11951.70831059,0.82165294,6.874e-05
10,7.231e-05,1503756000,7.233e-05,6.825e-05,6.833e-05,16549.73829394,1.17145954,7.078e-05
11,7.067e-05,1503763200,7.228e-05,7.022e-05,7.228e-05,10488.50033372,0.74729228,7.124e-05
12,7.072e-05,1503770400,7.239e-05,6.961e-05,7.058e-05,17711.57390466,1.26505354,7.142e-05
13,6.774e-05,1503777600,7.118e-05,6.774e-05,7.08e-05,19101.09485156,1.33684204,6.998e-05
14,7.096e-05,1503784800,7.118e-05,6.779e-05,6.78e-05,8754.32558232,0.60209203,6.877e-05
15,6.872e-05,1503792000,7.099e-05,6.817e-05,7.096e-05,9627.15426176,0.66503856,6.907e-05
16,7.422e-05,1503799200,7.5e-05,6.862e-05,6.862e-05,68691.71739541,5.04334772,7.342e-05
17,7.298e-05,1503806400,7.45e-05,7.177e-05,7.422e-05,8548.93826025,0.62506369,7.311e-05
18,7.25e-05,1503813600,7.25e-05,7.135e-05,7.201e-05,4738.99186871,0.3414378,7.204e-05
19,7.89e-05,1503820800,7.89e-05,7.199e-05,7.25e-05,87261.46468068,6.649076,7.619e-05
20,8.037e-05,1503828000,8.037e-05,7.5e-05,7.89e-05,45548.76007605,3.58273916,7.865e-05
21,8.157e-05,1503835200,8.271e-05,7.799e-05,8.037e-05,38749.79823486,3.11651567,8.042e-05
22,8.48e-05,1503842400,8.599e-05,7.956e-05,8.164e-05,109594.12865131,9.2149837,8.408e-05
23,8.589e-05,1503849600,9.2e-05,7.86e-05,8.6e-05,268065.60192402,22.75798694,8.489e-05
24,7.738e-05,1503856800,8.596e-05,7.62e-05,8.589e-05,62555.42247748,4.97325484,7.95e-05
25,7.271e-05,1503864000,7.871e-05,7.139e-05,7.738e-05,54204.08008055,3.99032252,7.361e-05
26,7.628e-05,1503871200,7.695e-05,7.262e-05,7.262e-05,21820.07180004,1.63239262,7.481e-05
27,7.273e-05,1503878400,7.714e-05,7.2e-05,7.628e-05,42846.18836608,3.22152698,7.518e-05
28,7.313e-05,1503885600,7.54e-05,7.201e-05,7.3e-05,31633.46845356,2.33643259,7.385e-05
29,7.1e-05,1503892800,7.34e-05,7.1e-05,7.34e-05,40217.62079672,2.89628692,7.201e-05
30,7.041e-05,1503900000,7.131e-05,7.024e-05,7.1e-05,41975.97573893,2.97727744,7.092e-05
31,7.2e-05,1503907200,7.275e-05,7.034e-05,7.13e-05,24375.23826199,1.7475116,7.169e-05
32,6.979e-05,1503914400,7.3e-05,6.93e-05,7.193e-05,76101.09831761,5.36204654,7.045e-05
33,7.203e-05,1503921600,7.335e-05,6.79e-05,6.978e-05,152268.19047349,10.71687954,7.038e-05
34,7.345e-05,1503928800,7.556e-05,7.195e-05,7.195e-05,63024.70507974,4.65004643,7.378e-05
35,7.659e-05,1503936000,7.971e-05,7.345e-05,7.345e-05,83187.51603351,6.44550741,7.748e-05
36,7.908e-05,1503943200,8.058e-05,7.62e-05,7.659e-05,17657.69706099,1.38769828,7.858e-05
37,7.812e-05,1503950400,7.899e-05,7.5e-05,7.899e-05,13613.53255301,1.05083631,7.719e-05
38,7.732e-05,1503957600,7.9e-05,7.73e-05,7.817e-05,6799.02824245,0.5293521,7.785e-05
39,7.826e-05,1503964800,7.861e-05,7.732e-05,7.732e-05,4048.05122158,0.31621892,7.811e-05
40,7.804e-05,1503972000,7.899e-05,7.701e-05,7.826e-05,6919.46014943,0.54161622,7.827e-05
41,7.7e-05,1503979200,7.901e-05,7.7e-05,7.777e-05,13723.10763901,1.06807412,7.783e-05
42,7.373e-05,1503986400,7.822e-05,7.363e-05,7.704e-05,45473.88997211,3.42413582,7.529e-05
43,7.45e-05,1503993600,7.451e-05,7.261e-05,7.42e-05,6338.13119869,0.46779666,7.38e-05
44,7.559e-05,1504000800,7.584e-05,7.4e-05,7.448e-05,36958.60041707,2.76310686,7.476e-05
45,7.204e-05,1504008000,7.583e-05,7.204e-05,7.583e-05,43497.230282,3.21791574,7.397e-05
46,6.981e-05,1504015200,7.297e-05,6.955e-05,7.297e-05,83242.58401031,5.89820183,7.085e-05
47,7.127e-05,1504022400,7.135e-05,6.966e-05,6.978e-05,6951.26375272,0.49112672,7.065e-05
48,7.401e-05,1504029600,7.401e-05,7.127e-05,7.127e-05,34838.77848299,2.54483356,7.304e-05
49,7.047e-05,1504036800,7.362e-05,7e-05,7.289e-05,33300.86850511,2.35823044,7.081e-05
50,7.019e-05,1504044000,7.14e-05,7.017e-05,7.051e-05,1259.83709252,0.08909108,7.071e-05
51,7.055e-05,1504051200,7.14e-05,7.022e-05,7.033e-05,1131.90928497,0.0802689,7.091e-05
52,7.117e-05,1504058400,7.14e-05,7.001e-05,7.063e-05,2066.59379363,0.14659668,7.093e-05
53,7.152e-05,1504065600,7.153e-05,7.018e-05,7.117e-05,2828.92055283,0.20171341,7.13e-05
54,7.468e-05,1504072800,7.468e-05,7.153e-05,7.153e-05,9278.01697927,0.68620562,7.396e-05
55,7.347e-05,1504080000,7.695e-05,7.253e-05,7.468e-05,24315.51540769,1.82006915,7.485e-05
56,7.272e-05,1504087200,7.465e-05,7.26e-05,7.343e-05,34179.55107663,2.51704922,7.364e-05
57,7.275e-05,1504094400,7.276e-05,7.004e-05,7.276e-05,11089.45745671,0.79208177,7.142e-05
58,6.957e-05,1504101600,7.346e-05,6.955e-05,7.271e-05,45371.13611014,3.17310542,6.993e-05
59,6.902e-05,1504108800,6.957e-05,6.9e-05,6.957e-05,42373.63111772,2.93403571,6.924e-05
60,7.047e-05,1504116000,7.1e-05,6.864e-05,6.902e-05,26786.9190755,1.86520956,6.963e-05
61,7e-05,1504123200,7.162e-05,6.866e-05,6.965e-05,17232.04654363,1.21194398,7.033e-05
62,7.047e-05,1504130400,7.1e-05,6.865e-05,7.074e-05,12103.76347376,0.84813879,7.007e-05
63,7.041e-05,1504137600,7.1e-05,6.9e-05,6.994e-05,10333.6263425,0.72501943,7.016e-05
64,7.128e-05,1504144800,7.14e-05,6.97e-05,7.089e-05,11240.62497106,0.79344416,7.058e-05
65,6.901e-05,1504152000,7.088e-05,6.901e-05,7.088e-05,5916.85680876,0.41616892,7.033e-05
66,6.982e-05,1504159200,7.035e-05,6.737e-05,7.011e-05,25251.855777,1.73373627,6.865e-05
67,7.084e-05,1504166400,7.088e-05,6.979e-05,6.983e-05,7162.9198608,0.504349,7.041e-05
68,7.087e-05,1504173600,7.207e-05,7.014e-05,7.084e-05,24719.13621978,1.76167331,7.126e-05
69,6.831e-05,1504180800,7.087e-05,6.722e-05,7.085e-05,20692.0218872,1.41608493,6.843e-05
70,6.77e-05,1504188000,6.848e-05,6.701e-05,6.831e-05,11251.87971413,0.75843389,6.74e-05
71,6.744e-05,1504195200,6.848e-05,6.735e-05,6.801e-05,2782.70233476,0.18912951,6.796e-05
72,6.709e-05,1504202400,6.982e-05,6.544e-05,6.744e-05,34365.43491282,2.30676873,6.712e-05
73,6.78e-05,1504209600,6.78e-05,6.702e-05,6.709e-05,3143.26504517,0.21180175,6.738e-05
74,6.782e-05,1504216800,6.832e-05,6.757e-05,6.781e-05,7129.8049511,0.48441511,6.794e-05
75,6.849e-05,1504224000,6.973e-05,6.795e-05,6.832e-05,5549.23717685,0.38225212,6.888e-05
76,6.829e-05,1504231200,6.955e-05,6.804e-05,6.845e-05,5328.13260945,0.36596951,6.868e-05
77,6.88e-05,1504238400,6.88e-05,6.829e-05,6.829e-05,894.43101554,0.06140109,6.864e-05
78,6.85e-05,1504245600,6.942e-05,6.805e-05,6.88e-05,3936.73930972,0.27119464,6.888e-05
79,6.747e-05,1504252800,6.928e-05,6.746e-05,6.843e-05,6002.94895112,0.40891432,6.811e-05
80,6.813e-05,1504260000,6.868e-05,6.709e-05,6.747e-05,1654.09017399,0.11185491,6.762e-05
81,6.95e-05,1504267200,6.972e-05,6.709e-05,6.806e-05,13854.81676975,0.94168905,6.796e-05
82,7.024e-05,1504274400,7.1e-05,6.835e-05,6.858e-05,25741.33962536,1.79993971,6.992e-05
83,7.874e-05,1504281600,7.881e-05,6.9e-05,7.024e-05,97191.21207663,7.0860051,7.29e-05
84,7.707e-05,1504288800,8.206e-05,7.259e-05,7.874e-05,105891.05161457,8.29477631,7.833e-05
85,7.589e-05,1504296000,7.8e-05,7.432e-05,7.707e-05,20479.55435373,1.5596819,7.615e-05
86,7.275e-05,1504303200,7.683e-05,7.25e-05,7.589e-05,13304.74644709,0.99406977,7.471e-05
87,7.436e-05,1504310400,7.442e-05,7.267e-05,7.332e-05,4588.42827459,0.33927972,7.394e-05
88,7.373e-05,1504317600,7.542e-05,7.211e-05,7.43e-05,10281.92869638,0.75838001,7.375e-05
89,7.201e-05,1504324800,7.449e-05,7.101e-05,7.372e-05,5169.9741138,0.37404896,7.235e-05
90,7.18e-05,1504332000,7.235e-05,7.1e-05,7.215e-05,2800.80511798,0.19991813,7.137e-05
91,7.792e-05,1504339200,7.792e-05,7.1e-05,7.123e-05,27310.16389213,2.02700511,7.422e-05
92,8.3e-05,1504346400,8.3e-05,7.36e-05,7.792e-05,52425.44588567,4.14904935,7.914e-05
93,8.59e-05,1504353600,8.6e-05,8.078e-05,8.301e-05,102612.63050414,8.53939676,8.321e-05
94,8.133e-05,1504360800,9.423e-05,7.793e-05,8.59e-05,270473.88319186,23.50913256,8.691e-05
95,7.829e-05,1504368000,8.445e-05,7.825e-05,8.156e-05,74834.99547209,6.1226055,8.181e-05
96,7.85e-05,1504375200,7.947e-05,7.522e-05,7.829e-05,37586.00471283,2.87061096,7.637e-05
97,7.726e-05,1504382400,7.997e-05,7.526e-05,7.945e-05,7757.56282795,0.60123441,7.75e-05
98,7.484e-05,1504389600,7.951e-05,7.4e-05,7.726e-05,26339.47868141,2.02025899,7.67e-05
99,7.417e-05,1504396800,7.527e-05,7.37e-05,7.479e-05,18734.94246738,1.39947663,7.469e-05
100,7.538e-05,1504404000,7.538e-05,7.343e-05,7.481e-05,11424.11231821,0.85112881,7.45e-05
101,7.559e-05,1504411200,7.703e-05,7.447e-05,7.539e-05,12870.17207448,0.97665195,7.588e-05
102,7.735e-05,1504418400,7.779e-05,7.418e-05,7.537e-05,5263.03878531,0.39655211,7.534e-05
103,8.501e-05,1504425600,8.547e-05,7.75e-05,7.75e-05,48147.2774369,3.94594583,8.195e-05
104,8.705e-05,1504432800,9e-05,7.912e-05,8.501e-05,75319.45927584,6.4122592,8.513e-05
105,7.815e-05,1504440000,8.877e-05,7.815e-05,8.705e-05,67849.09420296,5.57476693,8.216e-05
106,8.056e-05,1504447200,8.215e-05,7.808e-05,7.9e-05,13078.34994209,1.05114766,8.037e-05
107,8e-05,1504454400,8.04e-05,7.857e-05,7.971e-05,7582.09245509,0.60313226,7.954e-05
108,7.981e-05,1504461600,8.057e-05,7.93e-05,7.999e-05,2569.30866289,0.20475607,7.969e-05
109,8.102e-05,1504468800,8.206e-05,7.96e-05,7.964e-05,8039.86081735,0.65281757,8.119e-05
110,8.191e-05,1504476000,8.247e-05,8.1e-05,8.102e-05,8969.1782109,0.72943268,8.132e-05
