,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,4.04e-06,1485115200,4.11e-06,4.04e-06,4.1e-06,708199.25817866,2.88393397,4.07e-06,0.0,0.0,0.0,0.0,0.0,0.0
1,4.03e-06,1485122400,4.08e-06,4.01e-06,4.06e-06,1491281.6234298,6.01186193,4.03e-06,0.0,0.0,0.0,0.0,0.0,0.0
2,4.04e-06,1485129600,4.09e-06,4.02e-06,4.04e-06,986274.82596019,4.01027096,4.06e-06,4.302022286666666,0.0,0.0,4.036666666666667e-06,0.0,0.0
3,4.03e-06,1485136800,4.04e-06,4.01e-06,4.03e-06,172120.73001235,0.69282382,4.02e-06,3.5716522366666665,0.0,0.0,4.033333333333333e-06,0.0,0.0
4,3.96e-06,1485144000,4.03e-06,3.91e-06,4.03e-06,5364594.9660051,21.3574063,3.98e-06,8.686833693333334,0.0,0.0,4.0100000000000006e-06,0.0,0.0
5,4e-06,1485151200,4e-06,3.96e-06,3.98e-06,577732.30976664,2.30287143,3.98e-06,8.117700516666668,0.0,0.0,3.996666666666667e-06,0.0,0.0
6,4e-06,1485158400,4.01e-06,3.98e-06,3.99e-06,278341.89502499,1.11206402,3.99e-06,8.25744725,0.0,0.0,3.986666666666667e-06,0.0,0.0
7,4.02e-06,1485165600,4.04e-06,4e-06,4.01e-06,214941.42917604,0.86361633,4.01e-06,1.426183926666667,0.0,0.0,4.006666666666667e-06,0.0,0.0
8,4.05e-06,1485172800,4.05e-06,4.01e-06,4.04e-06,317002.5278578,1.27781601,4.03e-06,1.084498786666667,0.0,0.0,4.0233333333333335e-06,0.0,0.0
9,4.07e-06,1485180000,4.07e-06,4.04e-06,4.05e-06,147588.38817618,0.59962238,4.06e-06,0.913684906666667,0.0,0.0,4.046666666666667e-06,0.0,0.0
10,4.04e-06,1485187200,4.06e-06,4e-06,4.06e-06,144721.86058562,0.58003186,4e-06,0.8191567500000003,0.0,0.0,4.053333333333335e-06,0.0,0.0
11,3.97e-06,1485194400,4.04e-06,3.92e-06,4.03e-06,2050227.1812169,8.11648616,3.95e-06,3.0987134666666667,0.0,0.0,4.026666666666669e-06,0.0,0.0
12,3.98e-06,1485201600,4e-06,3.97e-06,3.97e-06,315376.86306802,1.25549548,3.98e-06,3.3173378333333337,3.928023126923077,0.0,3.9966666666666685e-06,4.017692307692308e-06,0.0
13,3.99e-06,1485208800,4.01e-06,3.98e-06,3.99e-06,236226.68936504,0.94165532,3.98e-06,3.4378789866666675,3.778617076923077,0.0,3.980000000000002e-06,4.013846153846153e-06,0.0
14,4.06e-06,1485216000,4.12e-06,3.99e-06,3.99e-06,1625943.8952421,6.63811355,4.08e-06,2.945088116666668,3.826790278461538,0.0,4.010000000000001e-06,4.016153846153846e-06,0.0
15,4.06e-06,1485223200,4.08e-06,4.05e-06,4.06e-06,65339.82687424,0.26596607,4.07e-06,2.6152449800000013,3.538766825384615,0.0,4.036666666666668e-06,4.017692307692307e-06,0.0
16,4.07e-06,1485230400,4.09e-06,4.05e-06,4.05e-06,98057.71897959,0.39766287,4.05e-06,2.4339141633333345,3.5160621369230762,0.0,4.063333333333335e-06,4.0207692307692305e-06,0.0
17,4.12e-06,1485237600,4.13e-06,4.08e-06,4.09e-06,544212.32735041,2.24339791,4.12e-06,0.969008950000001,2.0457537992307686,0.0,4.083333333333335e-06,4.033076923076922e-06,0.0
18,4.08e-06,1485244800,4.13e-06,4.04e-06,4.12e-06,500499.85263401,2.04351092,4.08e-06,1.561523900000001,2.02580299076923,0.0,4.0900000000000015e-06,4.0392307692307685e-06,0.0
19,4.11e-06,1485252000,4.11e-06,4.07e-06,4.07e-06,343207.2424864,1.40555549,4.09e-06,1.8974881066666676,2.0483792576923068,0.0,4.103333333333334e-06,4.047692307692307e-06,0.0
20,4.11e-06,1485259200,4.11e-06,4.09e-06,4.1e-06,92651.79972822,0.37993473,4.1e-06,1.2763337133333343,2.01117298076923,0.0,4.1000000000000006e-06,4.054615384615384e-06,0.0
21,4.18e-06,1485266400,4.2e-06,4.11e-06,4.12e-06,1249899.0774776,5.18677658,4.14e-06,2.3240889333333343,2.311862255384615,0.0,4.133333333333334e-06,4.064615384615384e-06,0.0
22,4.25e-06,1485273600,4.29e-06,4.16e-06,4.17e-06,866909.56764783,3.66427659,4.22e-06,3.076995966666668,2.547604886923076,0.0,4.180000000000001e-06,4.078461538461538e-06,0.0
23,4.43e-06,1485280800,4.47e-06,4.25e-06,4.27e-06,2000726.6325346,8.74429332,4.37e-06,5.865115496666669,3.1756249992307692,0.0,4.286666666666667e-06,4.108461538461537e-06,0.0
