,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,8.41e-06,1484460000,8.48e-06,8.3e-06,8.3e-06,5444089.1433419,45.69237384,8.39e-06
1,8.44e-06,1484467200,8.51e-06,8.38e-06,8.4e-06,6578809.1447591,55.54293566,8.44e-06
2,8.42e-06,1484474400,8.48e-06,8.27e-06,8.43e-06,4992316.7505475,41.78674848,8.37e-06
3,8.33e-06,1484481600,8.43e-06,8.24e-06,8.42e-06,3938469.802985,32.84656623,8.33e-06
4,8.34e-06,1484488800,8.49e-06,8.27e-06,8.32e-06,7377401.977248,61.69226384,8.36e-06
5,8.38e-06,1484496000,8.4e-06,8.24e-06,8.33e-06,6012480.0640145,49.98872694,8.31e-06
6,8.37e-06,1484503200,8.39e-06,8.3e-06,8.34e-06,2860317.6033581,23.87896475,8.34e-06
7,8.36e-06,1484510400,8.39e-06,8.3e-06,8.37e-06,1966323.315454,16.4002206,8.34e-06
8,8.23e-06,1484517600,8.38e-06,8.16e-06,8.37e-06,5953001.4501169,49.25192087,8.27e-06
9,8.23e-06,1484524800,8.48e-06,8.16e-06,8.21e-06,7478941.4027149,62.26072993,8.32e-06
10,8.22e-06,1484532000,8.27e-06,8.12e-06,8.23e-06,7158643.7791345,58.48618019,8.17e-06
11,8.24e-06,1484539200,8.25e-06,8.14e-06,8.22e-06,3327879.7188429,27.28495521,8.19e-06
12,8.16e-06,1484546400,8.25e-06,8.16e-06,8.22e-06,1720415.519138,14.1144344,8.2e-06
13,8.19e-06,1484553600,8.25e-06,8.15e-06,8.18e-06,3601455.1970206,29.53465056,8.2e-06
14,8.2e-06,1484560800,8.24e-06,8.15e-06,8.16e-06,3237016.8567351,26.5061537,8.18e-06
15,8.23e-06,1484568000,8.24e-06,8.14e-06,8.2e-06,3540743.4530716,29.0049866,8.19e-06
16,8.2e-06,1484575200,8.23e-06,8.17e-06,8.21e-06,2894707.8211241,23.73890478,8.2e-06
17,8.21e-06,1484582400,8.21e-06,8.16e-06,8.2e-06,1860937.7515434,15.23832316,8.18e-06
18,8.13e-06,1484589600,8.25e-06,8.13e-06,8.21e-06,4175523.4372802,34.21078598,8.19e-06
19,8.18e-06,1484596800,8.25e-06,8.1e-06,8.13e-06,3264192.2485687,26.64117994,8.16e-06
20,8.2e-06,1484604000,8.22e-06,8.12e-06,8.18e-06,2841933.1903803,23.23779448,8.17e-06
21,8.27e-06,1484611200,8.31e-06,8.17e-06,8.18e-06,4522248.8262986,37.31855534,8.25e-06
22,8.12e-06,1484618400,8.27e-06,8.09e-06,8.27e-06,6573967.0071192,53.59930916,8.15e-06
23,7.92e-06,1484625600,8.14e-06,7.84e-06,8.12e-06,14505282.87767,115.80753449,7.98e-06
24,7.56e-06,1484632800,7.98e-06,7.52e-06,7.88e-06,19764167.367789,152.80365083,7.73e-06
25,7.45e-06,1484640000,7.58e-06,7.05e-06,7.56e-06,34846842.073782,257.35017118,7.38e-06
26,7.51e-06,1484647200,7.53e-06,7.34e-06,7.44e-06,7494115.9999206,55.85234111,7.45e-06
