,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,2.73e-06,1543183200,2.76e-06,2.69e-06,2.73e-06,2377967.5176287,6.47640084,2.72e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,2.78e-06,1543190400,2.81e-06,2.71e-06,2.72e-06,1900551.8427379,5.25164527,2.76e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,2.86e-06,1543197600,2.86e-06,2.74e-06,2.76e-06,1856949.2041608,5.17845333,2.78e-06,5.635499813333333,-99999.0,-99999.0,2.79e-06,-99999.0,-99999.0
3,2.82e-06,1543204800,2.87e-06,2.76e-06,2.84e-06,556095.33176331,1.56689651,2.81e-06,3.9989983700000002,-99999.0,-99999.0,2.82e-06,-99999.0,-99999.0
4,2.78e-06,1543212000,2.85e-06,2.78e-06,2.81e-06,1190345.03935,3.3422468,2.8e-06,3.3625322133333335,-99999.0,-99999.0,2.82e-06,-99999.0,-99999.0
5,2.76e-06,1543219200,2.79e-06,2.75e-06,2.78e-06,695525.06097447,1.9194445,2.75e-06,2.2761959366666673,-99999.0,-99999.0,2.786666666666667e-06,-99999.0,-99999.0
6,2.77e-06,1543226400,2.79e-06,2.74e-06,2.76e-06,2691213.8506439,7.41893743,2.75e-06,4.226876243333334,-99999.0,-99999.0,2.7700000000000006e-06,-99999.0,-99999.0
7,2.77e-06,1543233600,2.8e-06,2.75e-06,2.77e-06,1132595.9058429,3.13530766,2.76e-06,4.157896530000001,-99999.0,-99999.0,2.766666666666667e-06,-99999.0,-99999.0
8,2.8e-06,1543240800,2.8e-06,2.76e-06,2.76e-06,1547990.0519612,4.31467207,2.78e-06,4.9563057200000005,-99999.0,-99999.0,2.7800000000000005e-06,-99999.0,-99999.0
9,2.83e-06,1543248000,2.83e-06,2.76e-06,2.8e-06,1133670.7373446,3.1584965,2.78e-06,3.5361587433333335,-99999.0,-99999.0,2.8000000000000003e-06,-99999.0,-99999.0
10,2.81e-06,1543255200,2.85e-06,2.81e-06,2.83e-06,637286.60608611,1.80662888,2.83e-06,3.093265816666667,-99999.0,-99999.0,2.8133333333333336e-06,-99999.0,-99999.0
11,2.84e-06,1543262400,2.85e-06,2.81e-06,2.81e-06,1369267.7742417,3.87310673,2.82e-06,2.94607737,-99999.0,-99999.0,2.8266666666666666e-06,-99999.0,-99999.0
12,2.84e-06,1543269600,2.86e-06,2.82e-06,2.83e-06,1244490.5859603,3.53978057,2.84e-06,3.0731720599999997,3.921693622307692,-99999.0,2.83e-06,2.7992307692307694e-06,-99999.0
13,2.89e-06,1543276800,2.91e-06,2.83e-06,2.86e-06,1514412.7011137,4.36792644,2.88e-06,3.926937913333333,3.7595032838461533,-99999.0,2.8566666666666663e-06,2.8115384615384616e-06,-99999.0
14,2.92e-06,1543284000,2.99e-06,2.89e-06,2.89e-06,3167743.2473992,9.32757621,2.94e-06,5.7450944066666665,4.073036433076923,-99999.0,2.8833333333333334e-06,2.8223076923076924e-06,-99999.0
15,2.94e-06,1543291200,2.96e-06,2.92e-06,2.93e-06,436558.97917061,1.28596616,2.94e-06,4.993822936666667,3.7736143430769236,-99999.0,2.9166666666666666e-06,2.8284615384615386e-06,-99999.0
16,3.03e-06,1543298400,3.04e-06,2.94e-06,2.95e-06,1432092.3167739,4.29258292,2.99e-06,4.96870843,3.983282528461539,-99999.0,2.963333333333333e-06,2.844615384615385e-06,-99999.0
17,2.99e-06,1543305600,3.04e-06,2.94e-06,3.03e-06,2425794.3226638,7.24802105,2.98e-06,4.2755233766666665,4.283726701538462,-99999.0,2.9866666666666663e-06,2.860769230769231e-06,-99999.0
18,3e-06,1543312800,3.01e-06,2.96e-06,2.99e-06,537514.72679468,1.6079225,2.99e-06,4.382842156666666,4.259763470769231,-99999.0,3.006666666666666e-06,2.879230769230769e-06,-99999.0
19,3.25e-06,1543320000,3.27e-06,2.99e-06,3e-06,5599584.2272872,17.67760417,3.15e-06,8.844515906666667,5.048891681538462,-99999.0,3.0799999999999993e-06,2.9161538461538455e-06,-99999.0
20,3.19e-06,1543327200,3.3e-06,3.14e-06,3.26e-06,10324426.212893,33.31501687,3.22e-06,17.533514513333333,7.370407774615385,-99999.0,3.146666666666666e-06,2.948461538461538e-06,-99999.0
21,3.27e-06,1543334400,3.33e-06,3.18e-06,3.19e-06,5012323.6719589,16.33095489,3.25e-06,22.44119197666667,8.294737222307692,-99999.0,3.236666666666666e-06,2.9846153846153844e-06,-99999.0
22,3.23e-06,1543341600,3.3e-06,3.21e-06,3.28e-06,2422449.7276076,7.88368891,3.25e-06,19.176553556666672,8.658213561538462,-99999.0,3.2299999999999996e-06,3.0153846153846154e-06,-99999.0
23,3.16e-06,1543348800,3.23e-06,3.13e-06,3.23e-06,3268970.9276294,10.40863939,3.18e-06,11.541094396666672,9.319906677692309,-99999.0,3.2199999999999997e-06,3.0423076923076915e-06,-99999.0
24,3.19e-06,1543356000,3.26e-06,3.14e-06,3.16e-06,2313431.1574671,7.40020594,3.19e-06,8.564178080000005,9.591222001538462,-99999.0,3.1933333333333334e-06,3.069230769230769e-06,-99999.0
25,3.31e-06,1543363200,3.37e-06,3.19e-06,3.19e-06,3457254.5146871,11.43417243,3.3e-06,9.747672586666672,10.198482913846155,-99999.0,3.22e-06,3.105384615384615e-06,-99999.0
26,3.31e-06,1543370400,3.39e-06,3.22e-06,3.31e-06,4099695.085909,13.51381946,3.29e-06,10.782732610000009,10.902013146153848,-99999.0,3.2700000000000005e-06,3.1376923076923073e-06,-99999.0
27,3.3e-06,1543377600,3.37e-06,3.28e-06,3.31e-06,2223568.6183824,7.38416198,3.32e-06,10.777384623333342,10.752519743846156,-99999.0,3.306666666666667e-06,3.1669230769230766e-06,-99999.0
28,3.23e-06,1543384800,3.33e-06,3.19e-06,3.3e-06,2622629.5470052,8.52150202,3.24e-06,9.806494486666676,11.30909942538462,-99999.0,3.2800000000000004e-06,3.1892307692307686e-06,-99999.0
29,3.28e-06,1543392000,3.3e-06,3.22e-06,3.22e-06,1185332.5138579,3.8640963,3.25e-06,6.589920100000008,11.276138916153851,-99999.0,3.2699999999999996e-06,3.208461538461538e-06,-99999.0
30,3.21e-06,1543399200,3.29e-06,3.21e-06,3.28e-06,2514030.1197321,8.19545625,3.25e-06,6.86035152333334,11.34901854692308,-99999.0,3.2399999999999995e-06,3.2253846153846142e-06,-99999.0
31,3.33e-06,1543406400,3.37e-06,3.19e-06,3.21e-06,3586893.2337174,11.77723506,3.28e-06,7.945595870000008,12.131273359230773,-99999.0,3.273333333333333e-06,3.2507692307692294e-06,-99999.0
32,3.28e-06,1543413600,3.33e-06,3.26e-06,3.33e-06,1977392.094985,6.4939792,3.28e-06,8.82222350333334,11.270994515384622,-99999.0,3.2733333333333335e-06,3.253076923076922e-06,-99999.0
33,3.24e-06,1543420800,3.29e-06,3.22e-06,3.29e-06,1410512.2887724,4.57050871,3.24e-06,7.613907656666673,9.05987850307693,7.290678057352942,3.2833333333333334e-06,3.256923076923076e-06,3.0276470588235285e-06
34,3.23e-06,1543428000,3.27e-06,3.23e-06,3.25e-06,1047967.3548634,3.40366346,3.24e-06,4.82271712333334,8.065471470000007,7.200303428529412,3.25e-06,3.253846153846153e-06,3.0423529411764697e-06
35,3.29e-06,1543435200,3.32e-06,3.24e-06,3.24e-06,1912866.3600569,6.2693427,3.27e-06,4.747838290000007,7.9412909923076995,7.230235705882353,3.2533333333333337e-06,3.2584615384615375e-06,3.05735294117647e-06
36,3.33e-06,1543442400,3.33e-06,3.24e-06,3.29e-06,1151077.0148687,3.78202474,3.28e-06,4.485010300000007,7.431551403846161,7.189164276764706,3.2833333333333342e-06,3.2715384615384605e-06,3.0711764705882346e-06
