,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,5.34e-06,1543183200,5.35e-06,5.34e-06,5.35e-06,5037.87493972,0.02690253,5.34e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,5.34e-06,1543190400,5.41e-06,5.34e-06,5.34e-06,13979.24374937,0.07526359,5.38e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,5.33e-06,1543197600,5.43e-06,5.33e-06,5.4e-06,15718.85386059,0.08494269,5.4e-06,0.062369603333333336,-99999.0,-99999.0,5.336666666666666e-06,-99999.0,-99999.0
3,5.35e-06,1543204800,5.35e-06,5.34e-06,5.35e-06,1226.35681488,0.00655383,5.34e-06,0.05558670333333334,-99999.0,-99999.0,5.34e-06,-99999.0,-99999.0
4,5.32e-06,1543212000,5.39e-06,5.32e-06,5.39e-06,3029.64815882,0.01621459,5.35e-06,0.035903703333333335,-99999.0,-99999.0,5.333333333333333e-06,-99999.0,-99999.0
5,5.32e-06,1543219200,5.34e-06,5.32e-06,5.33e-06,13806.35313336,0.07348888,5.32e-06,0.032085766666666675,-99999.0,-99999.0,5.330000000000001e-06,-99999.0,-99999.0
6,5.32e-06,1543226400,5.37e-06,5.32e-06,5.32e-06,18702.98212873,0.09968462,5.32e-06,0.06312936333333334,-99999.0,-99999.0,5.320000000000001e-06,-99999.0,-99999.0
7,5.56e-06,1543233600,5.66e-06,5.31e-06,5.32e-06,66423.61027314,0.36582579,5.5e-06,0.17966643000000002,-99999.0,-99999.0,5.400000000000002e-06,-99999.0,-99999.0
8,5.41e-06,1543240800,5.56e-06,5.41e-06,5.56e-06,61207.7475494,0.33948993,5.54e-06,0.2683334466666667,-99999.0,-99999.0,5.430000000000001e-06,-99999.0,-99999.0
9,5.49e-06,1543248000,5.52e-06,5.41e-06,5.44e-06,26816.53280847,0.14628352,5.45e-06,0.28386641333333335,-99999.0,-99999.0,5.486666666666669e-06,-99999.0,-99999.0
10,5.5e-06,1543255200,5.52e-06,5.41e-06,5.41e-06,29283.87478767,0.15998632,5.46e-06,0.21525325666666673,-99999.0,-99999.0,5.466666666666669e-06,-99999.0,-99999.0
11,5.46e-06,1543262400,5.56e-06,5.46e-06,5.52e-06,22519.82072859,0.12413437,5.51e-06,0.14346807000000003,-99999.0,-99999.0,5.483333333333335e-06,-99999.0,-99999.0
12,5.42e-06,1543269600,5.63e-06,5.42e-06,5.52e-06,48441.60749098,0.26662438,5.5e-06,0.18358169000000005,0.13733808,-99999.0,5.460000000000001e-06,5.396923076923077e-06,-99999.0
13,5.39e-06,1543276800,5.51e-06,5.39e-06,5.47e-06,26303.44661504,0.14289526,5.43e-06,0.17788467000000005,0.14626059769230768,-99999.0,5.423333333333335e-06,5.400769230769232e-06,-99999.0
14,5.36e-06,1543284000,5.45e-06,5.36e-06,5.39e-06,44846.79772489,0.24135733,5.38e-06,0.21695899000000005,0.15903703923076923,-99999.0,5.390000000000001e-06,5.4023076923076935e-06,-99999.0
15,5.35e-06,1543291200,5.44e-06,5.35e-06,5.36e-06,18750.90367433,0.10125072,5.39e-06,0.16183443666666672,0.16029150307692305,-99999.0,5.366666666666668e-06,5.403846153846154e-06,-99999.0
16,5.34e-06,1543298400,5.36e-06,5.26e-06,5.35e-06,17689.3776259,0.09410519,5.31e-06,0.14557108000000007,0.16702622307692305,-99999.0,5.350000000000001e-06,5.4030769230769235e-06,-99999.0
17,5.25e-06,1543305600,5.26e-06,5.25e-06,5.26e-06,3797.19685041,0.01993661,5.25e-06,0.07176417333333342,0.16731253230769225,-99999.0,5.313333333333335e-06,5.397692307692309e-06,-99999.0
18,5.26e-06,1543312800,5.26e-06,5.21e-06,5.25e-06,16022.01218542,0.08376872,5.22e-06,0.06593684000000007,0.16810328923076917,-99999.0,5.283333333333335e-06,5.3930769230769245e-06,-99999.0
19,5.3e-06,1543320000,5.3e-06,5.18e-06,5.26e-06,36258.40205527,0.19064039,5.25e-06,0.09811524000000006,0.17509988692307685,-99999.0,5.270000000000002e-06,5.391538461538463e-06,-99999.0
20,5.42e-06,1543327200,5.42e-06,5.22e-06,5.3e-06,50914.56017084,0.27191803,5.34e-06,0.18210904666666672,0.16787621307692302,-99999.0,5.3266666666666685e-06,5.380769230769232e-06,-99999.0
21,5.48e-06,1543334400,5.5e-06,5.37e-06,5.42e-06,23486.48547678,0.12790658,5.44e-06,0.1968216666666667,0.1516005707692307,-99999.0,5.4000000000000025e-06,5.386153846153847e-06,-99999.0
22,5.41e-06,1543341600,5.48e-06,5.41e-06,5.48e-06,8419.0251382,0.04570202,5.42e-06,0.1485088766666667,0.14386353230769222,-99999.0,5.436666666666669e-06,5.380000000000001e-06,-99999.0
23,5.4e-06,1543348800,5.41e-06,5.4e-06,5.41e-06,9473.09594064,0.05120362,5.4e-06,0.07493740666666672,0.1354956323076922,-99999.0,5.430000000000003e-06,5.372307692307693e-06,-99999.0
24,5.48e-06,1543356000,5.53e-06,5.4e-06,5.4e-06,44426.64128911,0.24423484,5.49e-06,0.1137134933333334,0.1447341299999999,-99999.0,5.430000000000003e-06,5.373846153846154e-06,-99999.0
