,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,7.56e-06,1543168800,7.7e-06,7.47e-06,7.7e-06,63927.98884447,0.48424677,7.57e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,7.66e-06,1543176000,7.66e-06,7.48e-06,7.54e-06,40151.69344555,0.30375621,7.56e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,7.72e-06,1543183200,7.78e-06,7.6e-06,7.6e-06,37021.17420832,0.28553418,7.71e-06,0.35784572000000003,-99999.0,-99999.0,7.646666666666667e-06,-99999.0,-99999.0
3,7.66e-06,1543190400,7.72e-06,7.66e-06,7.7e-06,7410.73276451,0.05694812,7.68e-06,0.2154128366666667,-99999.0,-99999.0,7.68e-06,-99999.0,-99999.0
4,7.63e-06,1543197600,7.7e-06,7.62e-06,7.7e-06,23368.57371835,0.17831319,7.63e-06,0.17359849666666669,-99999.0,-99999.0,7.670000000000001e-06,-99999.0,-99999.0
5,7.72e-06,1543204800,7.75e-06,7.62e-06,7.62e-06,48771.95401328,0.37469504,7.68e-06,0.20331878333333334,-99999.0,-99999.0,7.670000000000001e-06,-99999.0,-99999.0
6,7.8e-06,1543212000,7.86e-06,7.69e-06,7.73e-06,169848.73118545,1.32385951,7.79e-06,0.62562258,-99999.0,-99999.0,7.716666666666668e-06,-99999.0,-99999.0
7,7.74e-06,1543219200,7.84e-06,7.71e-06,7.77e-06,48373.56294765,0.37613225,7.77e-06,0.6915622666666668,-99999.0,-99999.0,7.753333333333338e-06,-99999.0,-99999.0
8,7.84e-06,1543226400,7.88e-06,7.71e-06,7.73e-06,202643.36586048,1.57721616,7.78e-06,1.0924026400000002,-99999.0,-99999.0,7.793333333333337e-06,-99999.0,-99999.0
9,7.78e-06,1543233600,7.91e-06,7.71e-06,7.84e-06,148158.97547931,1.15827932,7.81e-06,1.0372092433333335,-99999.0,-99999.0,7.78666666666667e-06,-99999.0,-99999.0
10,7.75e-06,1543240800,7.84e-06,7.67e-06,7.77e-06,83871.03704424,0.64790359,7.72e-06,1.12779969,-99999.0,-99999.0,7.790000000000002e-06,-99999.0,-99999.0
11,7.74e-06,1543248000,7.8e-06,7.67e-06,7.76e-06,75665.29540884,0.58569872,7.74e-06,0.7972938766666667,-99999.0,-99999.0,7.756666666666668e-06,-99999.0,-99999.0
12,7.74e-06,1543255200,7.79e-06,7.7e-06,7.74e-06,12380.73409681,0.09631617,7.77e-06,0.44330616000000017,0.5729922484615385,-99999.0,7.743333333333334e-06,7.718461538461537e-06,-99999.0
13,7.8e-06,1543262400,7.85e-06,7.72e-06,7.74e-06,19005.95613515,0.14855197,7.81e-06,0.2768556200000002,0.5471695715384615,-99999.0,7.760000000000002e-06,7.736923076923077e-06,-99999.0
14,7.72e-06,1543269600,7.85e-06,7.66e-06,7.84e-06,37875.14524622,0.29358349,7.75e-06,0.17948387666666685,0.5463870546153845,-99999.0,7.753333333333336e-06,7.74153846153846e-06,-99999.0
15,7.72e-06,1543276800,7.84e-06,7.72e-06,7.73e-06,39537.81411142,0.3086671,7.8e-06,0.25026752000000013,0.5481665099999999,-99999.0,7.746666666666668e-06,7.74153846153846e-06,-99999.0
16,7.71e-06,1543284000,7.82e-06,7.71e-06,7.76e-06,31386.60512682,0.24291563,7.73e-06,0.2817220733333335,0.562471703076923,-99999.0,7.716666666666668e-06,7.745384615384615e-06,-99999.0
17,7.76e-06,1543291200,7.8e-06,7.69e-06,7.76e-06,27531.02169543,0.21335739,7.74e-06,0.2549800400000002,0.5651674107692306,-99999.0,7.730000000000002e-06,7.755384615384613e-06,-99999.0
18,7.89e-06,1543298400,7.93e-06,7.77e-06,7.77e-06,22234.64562313,0.17549524,7.89e-06,0.21058942000000017,0.5498443492307691,-99999.0,7.78666666666667e-06,7.768461538461537e-06,-99999.0
19,7.83e-06,1543305600,8e-06,7.77e-06,7.88e-06,113684.09261921,0.89664551,7.88e-06,0.42849938000000026,0.5169817338461538,-99999.0,7.826666666666669e-06,7.77076923076923e-06,-99999.0
20,7.93e-06,1543312800,8e-06,7.77e-06,7.83e-06,127919.99125194,1.0074264,7.87e-06,0.6931890500000001,0.5655428223076922,-99999.0,7.883333333333335e-06,7.785384615384613e-06,-99999.0
21,7.62e-06,1543320000,7.99e-06,7.6e-06,7.93e-06,204775.1712825,1.58882561,7.75e-06,1.1642991733333334,0.5664358569230769,-99999.0,7.793333333333334e-06,7.768461538461537e-06,-99999.0
22,7.62e-06,1543327200,7.68e-06,7.61e-06,7.62e-06,39185.08168875,0.2994127,7.64e-06,0.9652215700000002,0.5003691938461537,-99999.0,7.723333333333334e-06,7.756153846153844e-06,-99999.0
23,7.66e-06,1543334400,7.68e-06,7.59e-06,7.62e-06,75190.28057091,0.57260197,7.61e-06,0.8202800933333335,0.4945767615384614,-99999.0,7.633333333333334e-06,7.749230769230768e-06,-99999.0
24,7.7e-06,1543341600,7.71e-06,7.61e-06,7.66e-06,36711.34982974,0.28085426,7.65e-06,0.38428964333333354,0.4711271876923076,-99999.0,7.66e-06,7.746153846153844e-06,-99999.0
25,7.71e-06,1543348800,7.72e-06,7.61e-06,7.71e-06,76287.50684308,0.5844149,7.66e-06,0.4792903766666668,0.5086732438461538,-99999.0,7.690000000000001e-06,7.743846153846152e-06,-99999.0
26,7.7e-06,1543356000,7.74e-06,7.61e-06,7.7e-06,181349.13184468,1.39141761,7.67e-06,0.7522289233333335,0.6042782930769229,-99999.0,7.703333333333336e-06,7.736153846153844e-06,-99999.0
27,7.77e-06,1543363200,7.84e-06,7.62e-06,7.69e-06,118452.12634276,0.91371375,7.71e-06,0.9631820866666668,0.6519806207692306,-99999.0,7.72666666666667e-06,7.739999999999997e-06,-99999.0
28,7.98e-06,1543370400,7.98e-06,7.82e-06,7.82e-06,41090.44569122,0.32456309,7.89e-06,0.8765648166666667,0.6532033892307691,-99999.0,7.81666666666667e-06,7.759999999999997e-06,-99999.0
29,8.04e-06,1543377600,8.04e-06,7.88e-06,7.98e-06,155158.38703888,1.23495532,7.95e-06,0.82441072,0.7295141346153845,-99999.0,7.930000000000002e-06,7.785384615384613e-06,-99999.0
30,7.94e-06,1543384800,8.04e-06,7.94e-06,8e-06,80680.62011544,0.645017,7.99e-06,0.7348451366666668,0.7627187199999999,-99999.0,7.986666666666668e-06,7.799230769230766e-06,-99999.0
31,7.98e-06,1543392000,8.09e-06,7.93e-06,8e-06,26893.36555464,0.21560816,8.01e-06,0.6985268266666669,0.7658043292307691,-99999.0,7.986666666666668e-06,7.806153846153844e-06,-99999.0
32,7.96e-06,1543399200,8e-06,7.95e-06,7.98e-06,21255.26089712,0.16923166,7.96e-06,0.3432856066666668,0.7098494176923075,-99999.0,7.96e-06,7.816153846153844e-06,-99999.0
33,8.17e-06,1543406400,8.4e-06,7.89e-06,7.96e-06,812403.03656104,6.70387498,8.25e-06,2.3629049333333336,1.1480377699999997,0.7547068520588236,8.036666666666665e-06,7.834615384615382e-06,7.780882352941176e-06
34,8.1e-06,1543413600,8.24e-06,8.1e-06,8.2e-06,206051.92133595,1.67793982,8.14e-06,2.8503488200000002,1.1548927092307688,0.7898154711764707,8.076666666666665e-06,7.87153846153846e-06,7.796764705882353e-06
35,8.01e-06,1543420800,8.16e-06,8.01e-06,8.16e-06,29071.21401753,0.23536256,8.09e-06,2.8723924533333336,1.149965775384615,0.7878038932352942,8.093333333333333e-06,7.901538461538459e-06,7.807058823529411e-06
36,7.89e-06,1543428000,8.11e-06,7.86e-06,8.01e-06,74084.0963481,0.59112644,7.97e-06,0.834809606666667,1.1513907346153842,0.7967919008823531,8e-06,7.919230769230766e-06,7.81205882352941e-06
37,7.86e-06,1543435200,7.96e-06,7.8e-06,7.89e-06,127899.51412594,1.00638632,7.86e-06,0.6109584400000003,1.2072008930769227,0.8247165538235295,7.919999999999999e-06,7.931538461538459e-06,7.817941176470587e-06
38,7.9e-06,1543442400,7.91e-06,7.82e-06,7.86e-06,134577.59921242,1.05512619,7.84e-06,0.8842129833333336,1.2434094538461538,0.8505051714705882,7.883333333333333e-06,7.946153846153844e-06,7.825882352941173e-06
39,7.78e-06,1543449600,7.97e-06,7.76e-06,7.9e-06,161843.73566213,1.27191866,7.85e-06,1.1111437233333337,1.2342172269230767,0.8768941014705883,7.846666666666667e-06,7.95230769230769e-06,7.827647058823526e-06
40,7.74e-06,1543456800,7.8e-06,7.69e-06,7.78e-06,251788.95388957,1.94437368,7.72e-06,1.423806176666667,1.31349876,0.8951445182352942,7.806666666666666e-06,7.949999999999997e-06,7.825882352941173e-06
41,7.79e-06,1543464000,7.82e-06,7.7e-06,7.74e-06,151108.18558516,1.17322343,7.76e-06,1.4631719233333336,1.3787803246153845,0.9185883764705883,7.77e-06,7.935384615384613e-06,7.827352941176468e-06
42,7.84e-06,1543471200,7.87e-06,7.76e-06,7.76e-06,28846.73905819,0.22497693,7.79e-06,1.114191346666667,1.3010896792307691,0.8788166344117648,7.79e-06,7.919999999999997e-06,7.827352941176468e-06
43,7.84e-06,1543478400,7.85e-06,7.7e-06,7.83e-06,130990.11872482,1.01630287,7.75e-06,0.8048344100000003,1.3296501307692308,0.8746408564705884,7.823333333333332e-06,7.91230769230769e-06,7.829117647058822e-06
44,7.88e-06,1543485600,7.96e-06,7.79e-06,7.8e-06,55100.81983024,0.43486854,7.89e-06,0.5587161133333337,1.346516313846154,0.8683751197058825,7.853333333333333e-06,7.904615384615381e-06,7.832941176470585e-06
45,7.78e-06,1543492800,7.86e-06,7.78e-06,7.86e-06,55815.83253604,0.43537968,7.8e-06,0.6288503633333337,1.3669892384615385,0.8639539714705885,7.833333333333332e-06,7.890769230769228e-06,7.83411764705882e-06
46,7.82e-06,1543500000,7.87e-06,7.74e-06,7.78e-06,58920.49469487,0.4592799,7.79e-06,0.44317604000000027,0.8866357707692306,0.8746293752941178,7.826666666666664e-06,7.86384615384615e-06,7.836470588235291e-06
47,7.9e-06,1543507200,7.91e-06,7.82e-06,7.83e-06,82643.55967533,0.64792442,7.83e-06,0.5141946666666669,0.8074038169230768,0.8893168002941177,7.833333333333332e-06,7.848461538461536e-06,7.83941176470588e-06
48,7.82e-06,1543514400,7.92e-06,7.8e-06,7.9e-06,34294.200477,0.26983392,7.86e-06,0.45901274666666686,0.8100554599999998,0.8886182835294119,7.846666666666664e-06,7.833846153846152e-06,7.842352941176468e-06
49,7.75e-06,1543521600,7.84e-06,7.69e-06,7.84e-06,32181.97775607,0.24983309,7.76e-06,0.3891971433333335,0.7838021253846151,0.8868878714705883,7.823333333333332e-06,7.823076923076922e-06,7.843235294117644e-06
50,7.73e-06,1543528800,7.79e-06,7.7e-06,7.75e-06,4767.32536508,0.03685954,7.73e-06,0.1855088500000002,0.709223142307692,0.8808273982352942,7.766666666666663e-06,7.813076923076922e-06,7.84382352941176e-06
51,7.63e-06,1543536000,7.72e-06,7.63e-06,7.71e-06,55631.55739676,0.42690348,7.67e-06,0.2378653700000002,0.6608983184615382,0.8871081655882354,7.70333333333333e-06,7.79230769230769e-06,7.839999999999996e-06
52,7.65e-06,1543543200,7.69e-06,7.64e-06,7.68e-06,4577.0461118,0.03510622,7.67e-06,0.16628974666666685,0.5657588999999997,0.882979076764706,7.669999999999998e-06,7.78230769230769e-06,7.832941176470585e-06
53,7.68e-06,1543550400,7.74e-06,7.6e-06,7.64e-06,27159.20529517,0.20777833,7.65e-06,0.22326267666666685,0.4321746423076921,0.8627182773529413,7.65333333333333e-06,7.777692307692304e-06,7.828529411764702e-06
