,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,9.23e-06,1543183200,9.31e-06,9.04e-06,9.08e-06,30887.39682508,0.2844668,9.2e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,9.26e-06,1543190400,9.27e-06,9.16e-06,9.23e-06,6265.52459063,0.0577467,9.21e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,9.26e-06,1543197600,9.26e-06,9.15e-06,9.26e-06,14782.91525502,0.13575105,9.18e-06,0.1593215166666667,-99999.0,-99999.0,9.25e-06,-99999.0,-99999.0
3,9.22e-06,1543204800,9.23e-06,9.2e-06,9.2e-06,7530.0,0.06943166,9.22e-06,0.08764313666666668,-99999.0,-99999.0,9.246666666666667e-06,-99999.0,-99999.0
4,9.44e-06,1543212000,9.44e-06,9.22e-06,9.22e-06,17205.98136004,0.16057413,9.33e-06,0.12191894666666668,-99999.0,-99999.0,9.306666666666667e-06,-99999.0,-99999.0
5,9.46e-06,1543219200,9.97e-06,9.43e-06,9.43e-06,391761.96503608,3.80550953,9.71e-06,1.3451717733333337,-99999.0,-99999.0,9.373333333333332e-06,-99999.0,-99999.0
6,9.4e-06,1543226400,9.43e-06,9.31e-06,9.43e-06,25419.98695782,0.23710291,9.32e-06,1.4010621900000002,-99999.0,-99999.0,9.433333333333333e-06,-99999.0,-99999.0
7,9.61e-06,1543233600,9.68e-06,9.41e-06,9.41e-06,45951.96650324,0.43885147,9.55e-06,1.4938213033333338,-99999.0,-99999.0,9.49e-06,-99999.0,-99999.0
8,9.57e-06,1543240800,1.001e-05,9.36e-06,9.68e-06,139240.78007546,1.37650327,9.88e-06,0.6841525500000003,-99999.0,-99999.0,9.526666666666666e-06,-99999.0,-99999.0
9,1.019e-05,1543248000,1.032e-05,9.5e-06,9.55e-06,185402.00173059,1.84919362,9.97e-06,1.2215161200000004,-99999.0,-99999.0,9.790000000000001e-06,-99999.0,-99999.0
10,9.87e-06,1543255200,1.03e-05,9.8e-06,1.019e-05,75199.48704288,0.75510062,1.004e-05,1.326932503333334,-99999.0,-99999.0,9.876666666666668e-06,-99999.0,-99999.0
11,9.66e-06,1543262400,9.87e-06,9.65e-06,9.87e-06,62890.46401862,0.61365489,9.75e-06,1.0726497100000005,-99999.0,-99999.0,9.90666666666667e-06,-99999.0,-99999.0
12,9.66e-06,1543269600,9.72e-06,9.59e-06,9.65e-06,17411.57417654,0.16803717,9.65e-06,0.5122642266666672,0.7655326015384615,-99999.0,9.730000000000002e-06,9.525384615384617e-06,-99999.0
13,9.41e-06,1543276800,9.69e-06,9.3e-06,9.66e-06,78700.53040582,0.73893471,9.38e-06,0.5068755900000005,0.8004916715384615,-99999.0,9.576666666666668e-06,9.539230769230771e-06,-99999.0
14,9.4e-06,1543284000,9.5e-06,9.4e-06,9.42e-06,1751.5320366,0.01658426,9.46e-06,0.30785204666666716,0.79732533,-99999.0,9.49e-06,9.550000000000003e-06,-99999.0
