,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,2.95e-06,1503684000,2.98e-06,2.87e-06,2.9e-06,10188239.891332,29.77869043,2.92e-06
1,2.94e-06,1503691200,3.05e-06,2.93e-06,2.96e-06,13495520.902955,40.32619103,2.98e-06
2,2.93e-06,1503698400,2.96e-06,2.89e-06,2.94e-06,7273072.4850369,21.33884137,2.93e-06
3,2.96e-06,1503705600,2.96e-06,2.91e-06,2.94e-06,7043514.0759138,20.63066528,2.92e-06
4,2.96e-06,1503712800,2.98e-06,2.89e-06,2.96e-06,6614086.4578232,19.44940418,2.94e-06
5,2.93e-06,1503720000,2.98e-06,2.9e-06,2.96e-06,7844460.8310753,23.08261093,2.94e-06
6,2.99e-06,1503727200,3.01e-06,2.92e-06,2.92e-06,11398247.10963,33.97013705,2.98e-06
7,3.03e-06,1503734400,3.06e-06,2.97e-06,2.97e-06,10057287.075151,30.40617615,3.02e-06
8,3.02e-06,1503741600,3.05e-06,3e-06,3.01e-06,7891353.0211435,23.89153248,3.02e-06
9,3e-06,1503748800,3.03e-06,2.97e-06,3.02e-06,9753054.0249198,29.2663238,3e-06
10,3.02e-06,1503756000,3.05e-06,2.96e-06,3e-06,14059903.849292,42.16641713,2.99e-06
11,2.98e-06,1503763200,3.05e-06,2.98e-06,3.02e-06,13479351.538019,40.66750034,3.01e-06
12,3.02e-06,1503770400,3.05e-06,2.98e-06,2.98e-06,13425247.924201,40.47886151,3.01e-06
13,3.01e-06,1503777600,3.03e-06,3e-06,3.03e-06,4320786.8549519,13.01706794,3.01e-06
14,3.05e-06,1503784800,3.06e-06,3.01e-06,3.01e-06,4594693.6731611,13.93877608,3.03e-06
15,2.97e-06,1503792000,3.05e-06,2.96e-06,3.04e-06,9413721.3044314,28.19566577,2.99e-06
16,2.94e-06,1503799200,2.98e-06,2.92e-06,2.98e-06,7373219.8709057,21.74572979,2.94e-06
17,2.97e-06,1503806400,3e-06,2.93e-06,2.94e-06,8530008.03645,25.26857378,2.96e-06
18,3e-06,1503813600,3.02e-06,2.95e-06,2.97e-06,7103887.817744,21.2124619,2.98e-06
19,2.99e-06,1503820800,3.01e-06,2.96e-06,3e-06,11831469.606443,35.42888674,2.99e-06
20,2.95e-06,1503828000,3e-06,2.95e-06,2.98e-06,5404280.4068985,16.04188114,2.96e-06
21,2.96e-06,1503835200,2.99e-06,2.92e-06,2.96e-06,10328447.216455,30.49122375,2.95e-06
22,2.95e-06,1503842400,2.97e-06,2.94e-06,2.96e-06,7080632.339614,20.88275052,2.94e-06
23,3e-06,1503849600,3.02e-06,2.93e-06,2.96e-06,13421160.500371,39.97887483,2.97e-06
24,3.14e-06,1503856800,3.16e-06,2.98e-06,3e-06,33524831.384868,103.41031346,3.08e-06
25,3.16e-06,1503864000,3.23e-06,3.1e-06,3.13e-06,43368572.318714,137.46612509,3.16e-06
26,3.14e-06,1503871200,3.17e-06,3.06e-06,3.15e-06,13961541.320074,43.44064208,3.11e-06
